age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
52,6,True,True,0,0,0,1,HOWH,5
75,9,True,True,0,0,0,1,HOH,2
45,10,True,True,0,0,0,1,HOH,5
70,3,True,False,0,0,0,1,H,7
65,7,False,False,0,0,0,1,HOH,3
44,9,True,True,0,0,0,1,HOH,6
44,9,False,True,0,0,0,1,HOH,2
27,4,False,True,0,0,0,1,HOH,7
56,6,True,True,0,0,1,0,HOWH,3
63,5,False,True,1,0,0,0,HWH,6
43,7,True,True,0,0,0,1,HWH,0
50,8,False,True,0,0,0,1,HWH,2
32,9,False,True,0,0,0,1,HWH,0
37,9,False,True,1,0,0,0,HWH,2
54,11,False,True,0,0,0,1,HOH,2
56,11,True,True,0,0,0,1,HOH,3
58,7,False,True,0,0,0,1,HOH,4
46,9,False,True,0,0,0,1,HOH,0
48,9,True,False,0,1,0,0,HOH,1
60,7,False,False,0,0,0,1,HOH,7
32,7,False,False,1,0,0,0,HWH,7
35,6,True,False,0,0,1,0,HWH,5
75,6,True,False,1,0,0,0,H,4
56,10,False,True,0,0,0,1,HOH,4
65,10,True,True,0,0,0,1,HOH,4
63,6,False,True,1,0,0,0,HOH,6
57,11,False,True,0,0,0,1,HWH,1
54,11,True,True,1,0,0,0,HOH,1
26,10,True,True,0,0,0,1,HWH,0
25,10,False,True,0,0,0,1,HWH,3
52,6,False,True,0,0,0,1,HWH,6
68,9,True,True,0,0,0,1,HOH,3
30,3,False,False,0,0,0,1,H,2
43,11,True,True,0,0,0,1,H,7
45,6,True,True,0,1,0,0,HOH,5
78,11,True,True,0,0,0,1,H,5
43,8,False,True,0,0,0,1,HWOH,3
31,6,True,False,1,0,0,0,HWH,6
53,10,True,True,0,0,0,1,HOH,1
52,10,False,True,0,0,0,1,HOH,5
48,3,True,False,1,0,0,0,HWH,2
43,3,False,False,1,0,0,0,HWH,7
66,10,True,True,0,0,0,1,HOH,0
68,11,True,True,0,0,0,1,HWH,3
62,4,True,False,0,0,1,0,HOH,4
53,3,False,False,1,0,0,0,HOH,1
44,9,False,True,0,0,0,1,HWH,6
48,9,True,True,0,0,0,1,H,2
51,11,True,True,0,0,0,1,HOH,6
16,11,False,False,0,0,0,1,HWH,2
37,7,False,True,0,1,0,0,HWH,2
50,8,False,True,0,1,0,0,HWOH,4
57,5,False,False,1,0,0,0,HWH,6
44,5,False,False,0,0,0,1,HOH,3
58,5,True,True,0,0,1,0,HOH,0
44,8,True,True,0,0,0,1,HOH,5
30,10,True,True,0,0,0,1,HOH,6
31,9,False,True,0,0,0,1,HOH,4
26,6,True,True,1,0,0,0,HWH,3
