HOUSEID,PERSONID,WTTRDFIN,TOUR,TOURTYPE,STOPS,TOUR_FLG,BEGNTIME,DIST_M,TIME_M,MODE_D,MODE_T,TOT_CMIN,TOT_MILS,TOT_DWEL,TOT_DWEL2,VMT,PMT_POV,PMT_WALK,PMT_TRAN,PMT_OTHR,ENDTTIME,uniquePersonId
40654752,1,4583995.46036665,3,HH,1,0,715,13.978,36,3,3,41,14.478,9,544,13.978,13.978,0.5,0.0,0.0,805,40654752_1
40654752,1,4583995.46036665,4,HH,0,0,1700,13.73,30,3,3,30,13.73,0,165,13.73,13.73,0.0,0.0,0.0,1730,40654752_1
40654752,1,4583995.46036665,5,HH,0,0,2015,1.0,10,1,1,10,1.0,0,0,0.0,0.0,1.0,0.0,0.0,2025,40654752_1
40654752,2,4586647.95494675,1,HW,4,1,530,12.363,40,15,1,105,19.178,595,595,0.0,0.0,6.815,12.363,0.0,815,40654752_2
40654752,2,4586647.95494675,2,WH,0,0,1710,12.28,35,15,15,35,12.28,0,83,0.0,0.0,0.0,12.28,0.0,1745,40654752_2
40654752,2,4586647.95494675,3,HH,0,0,1908,0.33299999999999996,157,1,1,157,0.33299999999999996,0,16,0.0,0.0,0.33299999999999996,0.0,0.0,2145,40654752_2
40654752,2,4586647.95494675,4,HH,0,0,2201,0.33299999999999996,7,1,1,7,0.33299999999999996,0,0,0.0,0.0,0.33299999999999996,0.0,0.0,2208,40654752_2
40659430,1,1472956.88260649,1,HO,0,0,1300,1.4340000000000002,30,3,3,30,1.4340000000000002,0,60,1.4340000000000002,1.4340000000000002,0.0,0.0,0.0,1330,40659430_1
40659430,1,1472956.88260649,2,OO,0,0,1430,1.341,30,3,3,30,1.341,0,45,1.341,1.341,0.0,0.0,0.0,1500,40659430_1
40659430,1,1472956.88260649,3,OO,0,0,1545,0.586,15,3,3,15,0.586,0,60,0.586,0.586,0.0,0.0,0.0,1600,40659430_1
40659430,1,1472956.88260649,4,OO,1,1,1700,1.198,15,3,3,30,1.993,30,30,1.993,1.993,0.0,0.0,0.0,1800,40659430_1
40663580,1,2000581.8751255001,1,OO,0,0,1300,1.671,6,3,3,6,1.671,0,114,0.0,1.671,0.0,0.0,0.0,1306,40663580_1
40663580,1,2000581.8751255001,2,OH,1,1,1500,131.576,170,3,3,175,132.433,5,35,0.0,132.433,0.0,0.0,0.0,1800,40663580_1
40663580,1,2000581.8751255001,3,HO,1,1,1830,1.344,42,3,3,49,2.251,6,6,2.251,2.251,0.0,0.0,0.0,1925,40663580_1
40671798,1,2265934.56829582,1,OW,0,0,1000,13.777000000000001,20,3,3,20,13.777000000000001,0,480,13.777000000000001,13.777000000000001,0.0,0.0,0.0,1020,40671798_1
40671798,1,2265934.56829582,2,WH,1,1,1820,7.281000000000001,30,3,3,40,10.427,20,20,10.427,10.427,0.0,0.0,0.0,1920,40671798_1
40671798,2,2264624.16051648,1,HW,0,0,758,2.021,44,1,1,44,2.021,0,533,0.0,0.0,2.021,0.0,0.0,842,40671798_2
