id,lon,lat,osm_id,id
61179364,-71.1222568,42.3959902,61179364,392
61179450,-71.12762,42.403451,61179450,393
61179493,-71.0948845,42.3779598,61179493,394
61179497,-71.0953402,42.377329,61179497,395
61179527,-71.0986389,42.3794121,61179527,396
61179530,-71.0957955,42.3776568,61179530,397
61179595,-71.1005265,42.3815145,61179595,398
61179805,-71.1068046,42.3866267,61179805,399
61179809,-71.0914592,42.3740926,61179809,400
61179829,-71.0908357,42.3740423,61179829,401
61179840,-71.0912951,42.3745676,61179840,402
61179870,-71.1006919,42.3762877,61179870,403
61179871,-71.1010842,42.3760985,61179871,404
61179996,-71.0937988,42.379519,61179996,405
61180006,-71.0941062,42.3790978,61180006,406
61180152,-71.0978669,42.3898327,61180152,407
61180237,-71.0930609,42.3794973,61180237,408
61180240,-71.0939834,42.3795809,61180240,409
61180297,-71.0828539,42.3920154,61180297,410
61180298,-71.0833623,42.3937884,61180298,411
61180316,-71.122175,42.392764,61180316,412
61180326,-71.117425,42.405833,61180326,413
61180349,-71.1204874,42.3931591,61180349,414
61180371,-71.110932,42.38197,61180371,415
61180373,-71.1202116,42.3927717,61180373,416
61180463,-71.123537,42.408931,61180463,417
61180522,-71.12336,42.409192,61180522,418
61180574,-71.130943,42.405623,61180574,419
61180589,-71.1281255,42.4036892,61180589,420
61180608,-71.130706,42.405516,61180608,421
61180630,-71.1313322,42.4058186,61180630,422
61180738,-71.121713,42.402877,61180738,423
61180746,-71.121346,42.40341,61180746,424
61180800,-71.094752,42.374302,61180800,425
61180812,-71.1072517,42.3780823,61180812,426
61180825,-71.123845,42.4084619,61180825,427
61180916,-71.0824806,42.3734784,61180916,428
61180953,-71.1174849,42.4008538,61180953,429
61180974,-71.118084,42.400824,61180974,430
61180980,-71.1190124,42.4007977,61180980,431
61180991,-71.115079,42.4008783,61180991,432
61181027,-71.1158185,42.4010395,61181027,433
61181091,-71.0927359,42.3757277,61181091,434
61181192,-71.0928475,42.3742084,61181192,435
61181240,-71.0921681,42.3843005,61181240,436
61181257,-71.1014146,42.3794039,61181257,437
61181278,-71.0954344,42.3764493,61181278,438
61181457,-71.0914082,42.3868189,61181457,439
61181648,-71.122987,42.392378,61181648,440
61181745,-71.0995624,42.3956699,61181745,441
61181794,-71.119029,42.3934439,61181794,442
61181864,-71.101188,42.393285,61181864,443
61181929,-71.100331,42.395985,61181929,444
61182026,-71.1122796,42.3882682,61182026,445
61182035,-71.1031762,42.3969708,61182035,446
61182045,-71.1273536,42.397132,61182045,447
61182184,-71.0838819,42.398777,61182184,448
61182194,-71.0935689,42.3789027,61182194,449
61182293,-71.1007815,42.3794374,61182293,450
61182300,-71.1021484,42.3792882,61182300,451
61182307,-71.087917,42.373499,61182307,452
61182308,-71.1262188,42.3959226,61182308,453
61182324,-71.0955666,42.3796478,61182324,454
61182325,-71.0895646,42.3742732,61182325,455
61182339,-71.0903078,42.3739992,61182339,456
61182353,-71.0885041,42.3741502,61182353,457
61182360,-71.0880606,42.3741563,61182360,458
61182370,-71.088628,42.37367,61182370,459
61182503,-71.0870222,42.3811254,61182503,460
61182536,-71.1034623,42.3789953,61182536,461
61182580,-71.097915,42.377667,61182580,462
61182670,-71.087559,42.380988,61182670,463
61182857,-71.0818303,42.3839186,61182857,464
61182955,-71.116126,42.385182,61182955,465
61263665,-71.1012493,42.3888024,61263665,466
61283119,-71.1095814,42.3558992,61283119,467
61283126,-71.1088087,42.3566331,61283126,468
61283218,-71.1033176,42.3559928,61283218,469
61283269,-71.0948847,42.3601506,61283269,470
61283273,-71.1135582,42.3568683,61283273,471
61283287,-71.1120124,42.3559879,61283287,472
61283293,-71.0965425,42.3561028,61283293,473
61283300,-71.1114735,42.3565062,61283300,474
61283305,-71.1104454,42.3564065,61283305,475
61283311,-71.0968722,42.35663,61283311,476
61283315,-71.109219,42.356868,61283315,477
61283322,-71.1099777,42.3561359,61283322,478
61283333,-71.1142097,42.3562777,61283333,479
61283340,-71.1129966,42.3573774,61283340,480
61283345,-71.1111466,42.3568122,61283345,481
61283350,-71.0920012,42.3628555,61283350,482
61283361,-71.088182,42.3624442,61283361,483
61283383,-71.1337188,42.3713075,61283383,484
61283403,-71.1335355,42.371404,61283403,485
61316733,-71.1345704,42.3710804,61316733,486
61316736,-71.1305838,42.3747032,61316736,487
61316739,-71.1284354,42.3745746,61316739,488
61317281,-71.0871446,42.359239,61317281,489
61317284,-71.0905168,42.3581119,61317284,490
61317291,-71.089977,42.362623,61317291,491
61317292,-71.1052874,42.355025,61317292,492
61317302,-71.1044373,42.3554427,61317302,493
61317303,-71.1224585,42.3697969,61317303,494
61317319,-71.1151485,42.357373,61317319,495
61317320,-71.117266,42.3691441,61317320,496
61317321,-71.1152866,42.3576696,61317321,497
61317323,-71.1181448,42.3695963,61317323,498
61317333,-71.1155893,42.3588461,61317333,499
61317337,-71.0907622,42.3680388,61317337,500
61317338,-71.0905783,42.3683758,61317338,501
61317355,-71.100538,42.36913,61317355,502
61317356,-71.134161,42.393558,61317356,503
61317358,-71.1178538,42.3717065,61317358,504
61317359,-71.0794638,42.3723549,61317359,505
61317360,-71.0795883,42.3721079,61317360,506
61317361,-71.108778,42.36838,61317361,507
61317362,-71.1076925,42.3678421,61317362,508
61317364,-71.1083835,42.3682009,61317364,509
61317365,-71.101223,42.368115,61317365,510
61317367,-71.1017379,42.3682951,61317367,511
61317368,-71.132635,42.389269,61317368,512
61317369,-71.132694,42.390262,61317369,513
61317370,-71.132664,42.389627,61317370,514
61317371,-71.1170584,42.3714192,61317371,515
61317375,-71.1524239,42.380042,61317375,516
61317381,-71.094128,42.365511,61317381,517
61317382,-71.10081,42.367969,61317382,518
61317383,-71.093324,42.365164,61317383,519
61317386,-71.0926032,42.3648441,61317386,520
61317398,-71.1125319,42.3626035,61317398,521
61317399,-71.11232,42.3626767,61317399,522
61317400,-71.1135298,42.3622709,61317400,523
61317406,-71.1545321,42.3811836,61317406,524
61317410,-71.1103867,42.3537553,61317410,525
61317413,-71.107198,42.369783,61317413,526
61317416,-71.101489,42.366982,61317416,527
61317417,-71.1102849,42.3540321,61317417,528
61317420,-71.1050198,42.3652617,61317420,529
61317423,-71.1040004,42.3655877,61317423,530
61317425,-71.1043636,42.3653672,61317425,531
61317427,-71.114017,42.3677372,61317427,532
61317428,-71.1241332,42.3901438,61317428,533
61317442,-71.1108054,42.3538865,61317442,534
61317446,-71.1111251,42.3540455,61317446,535
61317454,-71.0974813,42.3635742,61317454,536
61317457,-71.0944149,42.3732385,61317457,537
61317474,-71.114589,42.369768,61317474,538
61317483,-71.1238528,42.3905461,61317483,539
61317495,-71.128059,42.375913,61317495,540
61317497,-71.128103,42.384643,61317497,541
61317499,-71.0996858,42.3656806,61317499,542
61317501,-71.1048669,42.3565441,61317501,543
61317507,-71.107984,42.3787263,61317507,544
61317509,-71.139373,42.3829,61317509,545
61317515,-71.128308,42.383419,61317515,546
61317517,-71.114468,42.3765509,61317517,547
61317521,-71.1084263,42.3786321,61317521,548
61317523,-71.0990992,42.364817,61317523,549
61317525,-71.128818,42.383098,61317525,550
61317529,-71.128431,42.383221,61317529,551
61317531,-71.130225,42.397447,61317531,552
61317533,-71.1303106,42.3973901,61317533,553
61317535,-71.1293322,42.3966533,61317535,554
61317537,-71.1294246,42.3966004,61317537,555
61317539,-71.128654,42.396057,61317539,556
61317541,-71.1287431,42.396006,61317541,557
61317543,-71.1271189,42.394692,61317543,558
61317545,-71.1272068,42.3946346,61317545,559
61317547,-71.1269651,42.3945568,61317547,560
61317549,-71.1270525,42.3944997,61317549,561
61317553,-71.111219,42.360296,61317553,562
61317585,-71.13149,42.376218,61317585,563
61317586,-71.131516,42.375827,61317586,564
61317589,-71.13414,42.380305,61317589,565
61317596,-71.0841,42.372297,61317596,566
61317598,-71.155058,42.378956,61317598,567
61317601,-71.088662,42.373531,61317601,568
61317605,-71.141194,42.3866177,61317605,569
61317607,-71.1412113,42.3866527,61317607,570
61317609,-71.1307991,42.3978069,61317609,571
61317611,-71.1306963,42.3978605,61317611,572
61317639,-71.1426563,42.3978095,61317639,573
61317651,-71.1105057,42.3596336,61317651,574
61317655,-71.1212286,42.3896176,61317655,575
61317659,-71.115579,42.370129,61317659,576
61317661,-71.1068893,42.3650859,61317661,577
61317663,-71.1072174,42.3650598,61317663,578
61317667,-71.1062118,42.3651481,61317667,579
61317669,-71.110773,42.3647562,61317669,580
61317671,-71.1115703,42.3646882,61317671,581
61317675,-71.1081295,42.3649819,61317675,582
61317681,-71.0822002,42.3720451,61317681,583
61317705,-71.135423,42.37548,61317705,584
61317709,-71.113672,42.363209,61317709,585
61317713,-71.1109575,42.3559221,61317713,586
61317725,-71.13282,42.39575,61317725,587
61317735,-71.1141043,42.3803229,61317735,588
61317741,-71.0937666,42.3660033,61317741,589
61317743,-71.0945324,42.3663006,61317743,590
61317749,-71.117966,42.389126,61317749,591
61317759,-71.1190413,42.38857,61317759,592
61317761,-71.1123165,42.3646244,61317761,593
61317764,-71.1148127,42.3644113,61317764,594
61318060,-71.0987656,42.365398,61318060,595
61318061,-71.138341,42.381226,61318061,596
61318062,-71.138136,42.381243,61318062,597
61318063,-71.12515,42.390011,61318063,598
61318065,-71.124425,42.3897381,61318065,599
61318066,-71.1046257,42.3535672,61318066,600
61318074,-71.0825632,42.3607708,61318074,601
61318079,-71.1139989,42.3587382,61318079,602
61318083,-71.1263319,42.3939944,61318083,603
61318084,-71.123355,42.37819,61318084,604
61318087,-71.0838908,42.3603265,61318087,605
61318093,-71.1441908,42.3886778,61318093,606
61318101,-71.1130322,42.3581469,61318101,607
61318109,-71.1294958,42.3788314,61318109,608
61318129,-71.1459757,42.3757712,61318129,609
61318132,-71.1301455,42.3951585,61318132,610
61318136,-71.127809,42.384782,61318136,611
61318138,-71.128034,42.385056,61318138,612
61318142,-71.152109,42.378008,61318142,613
61318148,-71.151637,42.378054,61318148,614
61318150,-71.125388,42.386867,61318150,615
61318164,-71.152288,42.378783,61318164,616
61318166,-71.152064,42.377833,61318166,617
61318175,-71.0870892,42.3719398,61318175,618
61318181,-71.1344861,42.3695779,61318181,619
61318193,-71.1357861,42.368008,61318193,620
61318427,-71.123047,42.385178,61318427,621
61318428,-71.123272,42.385522,61318428,622
61318430,-71.121996,42.38551,61318430,623
61318431,-71.117555,42.385278,61318431,624
61318433,-71.146063,42.378577,61318433,625
