age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
33,7,True,True,0,0,0,1,HOH,3
30,7,False,True,0,0,0,1,H,6
58,7,True,False,0,0,1,0,HOH,4
28,9,False,True,0,0,0,1,H,3
29,9,False,True,0,0,0,1,H,0
33,7,True,False,0,0,0,1,H,1
30,7,False,False,1,0,0,0,H,0
35,6,False,True,0,0,0,1,H,6
63,11,False,True,0,0,0,1,HWOWH,7
61,11,True,True,0,0,0,1,HWH,2
49,3,False,False,1,0,0,0,HWH,5
18,3,True,False,0,0,1,0,HWH,4
47,6,True,True,0,0,0,1,HWH,5
55,6,False,False,0,0,0,1,HWH,4
63,6,True,False,0,0,1,0,H,2
26,6,False,False,1,0,0,0,HWH,3
67,1,True,False,1,0,0,0,HOH,7
64,1,False,True,0,0,0,1,H,2
53,7,False,True,0,1,0,0,HWH,0
54,7,True,True,0,0,0,1,HWH,4
20,7,True,False,0,0,1,0,HWH,5
19,7,False,False,1,0,0,0,HWH,2
57,8,True,True,0,0,0,1,HOH,6
50,1,False,True,0,0,0,1,HOH,3
73,4,True,True,0,0,0,1,HWOWH,3
30,6,True,True,0,0,0,1,HWH,0
26,6,False,True,1,0,0,0,HWH,7
45,6,False,False,0,0,0,1,HWH,6
62,7,False,True,0,0,0,1,HWH,5
66,6,True,False,0,1,0,0,HWOWH,3
31,7,True,True,0,0,0,1,HWH,0
34,7,False,True,0,0,0,1,HWH,5
66,4,False,False,1,0,0,0,HWH,4
63,11,True,True,0,0,0,1,HOH,5
61,11,False,True,0,0,0,1,HOH,5
70,7,True,False,0,0,1,0,HWH,7
20,7,True,False,1,0,0,0,HOH,7
26,6,False,True,0,0,0,1,HWH,4
47,11,False,True,0,0,0,1,HOH,2
53,11,True,True,0,0,0,1,HOH,6
34,1,True,True,0,0,0,1,HWH,7
59,8,True,True,0,0,0,1,HWH,0
59,8,False,True,0,0,0,1,HOH,2
26,8,True,True,0,0,0,1,HWH,1
23,6,True,True,0,0,0,1,HWH,3
23,6,False,False,0,0,0,1,HWH,3
55,3,True,True,0,0,0,1,H,3
52,6,True,False,0,1,0,0,HOH,5
32,4,False,False,1,0,0,0,H,2
33,4,True,False,1,0,0,0,HOH,5
72,5,False,False,1,0,0,0,HWH,6
37,6,True,False,0,0,1,0,HWH,6
78,8,True,False,0,0,0,1,HWH,5
37,5,False,False,0,0,0,1,HOH,2
38,5,True,False,1,0,0,0,HOH,2
20,5,False,False,0,0,0,1,HOH,6
55,4,False,False,0,0,1,0,HWH,3
51,4,True,False,0,0,1,0,H,0
54,8,False,True,1,0,0,0,HOH,1
54,8,True,True,0,0,0,1,HWH,3
68,4,False,False,0,0,0,1,HOH,2
48,2,True,True,0,0,0,1,HWH,7
19,2,True,False,1,0,0,0,HOH,2
38,9,True,True,0,0,0,1,HWH,7
51,9,False,True,0,1,0,0,HWH,1
62,11,True,True,0,0,0,1,HOH,3
60,11,False,True,0,0,0,1,HWH,2
70,7,False,False,0,0,1,0,HOH,4
70,7,True,True,1,0,0,0,HOH,0
40,5,False,True,0,0,0,1,HWH,1
43,5,True,True,0,0,0,1,HWH,0
25,5,True,False,0,0,1,0,HWH,6
69,8,True,True,0,0,0,1,HOWH,4
70,6,False,False,0,1,0,0,HWH,4
33,6,False,True,0,0,0,1,HWH,3
36,11,False,True,0,0,0,1,HOH,3
38,11,True,True,0,0,0,1,HWH,6
62,9,True,True,0,0,1,0,HWH,0
28,9,False,True,1,0,0,0,HWH,1
42,7,True,False,0,0,0,1,HWH,4
46,6,False,False,1,0,0,0,HOH,7
73,3,False,False,0,1,0,0,HOH,1
40,6,False,False,0,1,0,0,HOWOH,0
50,6,True,True,0,0,0,1,HWH,1
53,5,True,False,0,0,0,1,HWH,1
