,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,weight,distance,net_type,activity,minutes
25649,6738,5047,42.3246914,-83.0804224,42.324667100000006,-83.0805009,0.08697181453266556,6.998361,walk,walking,0.08697181453266556
25650,5047,6738,42.324667100000006,-83.0805009,42.3246914,-83.0804224,0.08697181453266556,6.998361,walk,walking,0.08697181453266556
25657,5597,5002,42.3266255,-83.05824150000001,42.327064,-83.058605,0.7108954229684219,57.203621999999996,walk,walking,0.7108954229684219
25658,5002,5597,42.327064,-83.058605,42.3266255,-83.05824150000001,0.7108954229684219,57.203621999999996,walk,walking,0.7108954229684219
25659,5002,6260,42.327064,-83.058605,42.3274314,-83.0589042,0.5927829917854525,47.699469,walk,walking,0.5927829917854525
25660,6260,5002,42.3274314,-83.0589042,42.327064,-83.058605,0.5927829917854525,47.699469,walk,walking,0.5927829917854525
25661,6260,6261,42.3274314,-83.0589042,42.327539200000004,-83.0589888,0.1722717387251917,13.86219,walk,walking,0.1722717387251917
25662,6261,6260,42.327539200000004,-83.0589888,42.3274314,-83.0589042,0.1722717387251917,13.86219,walk,walking,0.1722717387251917
25663,6261,5983,42.327539200000004,-83.0589888,42.3278186,-83.0592079,0.4464130388855059,35.921518,walk,walking,0.4464130388855059
25664,5983,6261,42.3278186,-83.0592079,42.327539200000004,-83.0589888,0.4464130388855059,35.921518,walk,walking,0.4464130388855059
25665,5983,5139,42.3278186,-83.0592079,42.327884999999995,-83.05926,0.10610652814197123,8.538074,walk,walking,0.10610652814197123
25666,5139,5983,42.327884999999995,-83.05926,42.3278186,-83.0592079,0.10610652814197123,8.538074,walk,walking,0.10610652814197123
25667,5139,5981,42.327884999999995,-83.05926,42.327946399999995,-83.0593082,0.09812845017212024,7.896102000000001,walk,walking,0.09812845017212024
25668,5981,5139,42.327946399999995,-83.0593082,42.327884999999995,-83.05926,0.09812845017212024,7.896102000000001,walk,walking,0.09812845017212024
25669,5981,5015,42.327946399999995,-83.0593082,42.328696,-83.059896,1.1976637752121988,96.372411,walk,walking,1.1976637752121988
25670,5015,5981,42.328696,-83.059896,42.327946399999995,-83.0593082,1.1976637752121988,96.372411,walk,walking,1.1976637752121988
25671,5015,6286,42.328696,-83.059896,42.3288297,-83.05999820000001,0.2122763368834429,17.08124,walk,walking,0.2122763368834429
25672,6286,5015,42.3288297,-83.05999820000001,42.328696,-83.059896,0.2122763368834429,17.08124,walk,walking,0.2122763368834429
25673,6286,6285,42.3288297,-83.05999820000001,42.329313,-83.0603677,0.7673709843786894,61.748041,walk,walking,0.7673709843786894
25674,6285,6286,42.329313,-83.0603677,42.3288297,-83.05999820000001,0.7673709843786894,61.748041,walk,walking,0.7673709843786894
25675,6285,5584,42.329313,-83.0603677,42.3294229,-83.0604517,0.1744848322914984,14.040270999999999,walk,walking,0.1744848322914984
25676,5584,6285,42.3294229,-83.0604517,42.329313,-83.0603677,0.1744848322914984,14.040270999999999,walk,walking,0.1744848322914984
25677,5584,6518,42.3294229,-83.0604517,42.329445299999996,-83.0604705,0.03643846545788957,2.9320939999999998,walk,walking,0.03643846545788957
25678,6518,5584,42.329445299999996,-83.0604705,42.3294229,-83.0604517,0.03643846545788957,2.9320939999999998,walk,walking,0.03643846545788957
25679,6518,4898,42.329445299999996,-83.0604705,42.3295038,-83.0605144,0.09247254153876744,7.440988000000001,walk,walking,0.09247254153876744
25680,4898,6518,42.3295038,-83.0605144,42.329445299999996,-83.0604705,0.09247254153876744,7.440988000000001,walk,walking,0.09247254153876744
25681,4898,6517,42.3295038,-83.0605144,42.3295581,-83.0605556,0.0860583841823356,6.924860000000001,walk,walking,0.0860583841823356
25682,6517,4898,42.3295581,-83.0605556,42.3295038,-83.0605144,0.0860583841823356,6.924860000000001,walk,walking,0.0860583841823356
25683,6517,5610,42.3295581,-83.0605556,42.329913399999995,-83.0608304,0.5657306722010265,45.52265,walk,walking,0.5657306722010265
25684,5610,6517,42.329913399999995,-83.0608304,42.3295581,-83.0605556,0.5657306722010265,45.52265,walk,walking,0.5657306722010265
25685,5610,6515,42.329913399999995,-83.0608304,42.3302438,-83.06108640000001,0.5263153342363951,42.351015999999994,walk,walking,0.5263153342363951
25686,6515,5610,42.3302438,-83.06108640000001,42.329913399999995,-83.0608304,0.5263153342363951,42.351015999999994,walk,walking,0.5263153342363951
25687,6515,5202,42.3302438,-83.06108640000001,42.330315,-83.061141,0.1131320541339928,9.103397,walk,walking,0.1131320541339928
25688,5202,6515,42.330315,-83.061141,42.3302438,-83.06108640000001,0.1131320541339928,9.103397,walk,walking,0.1131320541339928
25689,5202,5611,42.330315,-83.061141,42.3307197,-83.06145749999999,0.6461653472852226,51.994987,walk,walking,0.6461653472852226
25690,5611,5202,42.3307197,-83.06145749999999,42.330315,-83.061141,0.6461653472852226,51.994987,walk,walking,0.6461653472852226
25691,5611,5035,42.3307197,-83.06145749999999,42.331127,-83.061776,0.650298532317596,52.327571999999996,walk,walking,0.650298532317596
25692,5035,5611,42.331127,-83.061776,42.3307197,-83.06145749999999,0.650298532317596,52.327571999999996,walk,walking,0.650298532317596
25693,4949,5743,42.33915089999999,-83.0809433,42.3390662,-83.08089609999999,0.1266207265090037,10.18879,walk,walking,0.1266207265090037
25694,5743,4949,42.3390662,-83.08089609999999,42.33915089999999,-83.0809433,0.1266207265090037,10.18879,walk,walking,0.1266207265090037
25695,5743,6658,42.3390662,-83.08089609999999,42.337678499999996,-83.0801003,2.0833802552599203,167.643359,walk,walking,2.0833802552599203
25696,6658,5743,42.337678499999996,-83.0801003,42.3390662,-83.08089609999999,2.0833802552599203,167.643359,walk,walking,2.0833802552599203
25697,6658,4948,42.337678499999996,-83.0801003,42.3376292,-83.080072,0.0740263586314887,5.956679,walk,walking,0.0740263586314887
25698,4948,6658,42.3376292,-83.080072,42.337678499999996,-83.0801003,0.0740263586314887,5.956679,walk,walking,0.0740263586314887
25699,4948,5945,42.3376292,-83.080072,42.336172399999995,-83.07923790000001,2.1866005318950625,175.949185,walk,walking,2.1866005318950625
25700,5945,4948,42.336172399999995,-83.07923790000001,42.3376292,-83.080072,2.1866005318950625,175.949185,walk,walking,2.1866005318950625
25701,5945,4947,42.336172399999995,-83.07923790000001,42.3361207,-83.0792083,0.07759938856922713,6.244190000000001,walk,walking,0.07759938856922713
25702,4947,5945,42.3361207,-83.0792083,42.336172399999995,-83.07923790000001,0.07759938856922713,6.244190000000001,walk,walking,0.07759938856922713
25703,4947,5943,42.3361207,-83.0792083,42.3354344,-83.0788155,1.03005469322828,82.885411,walk,walking,1.03005469322828
25704,5943,4947,42.3354344,-83.0788155,42.3361207,-83.0792083,1.03005469322828,82.885411,walk,walking,1.03005469322828
25705,5943,4946,42.3354344,-83.0788155,42.335368200000005,-83.0787774,0.099442541663042,8.001843,walk,walking,0.099442541663042
25706,4946,5943,42.335368200000005,-83.0787774,42.3354344,-83.0788155,0.099442541663042,8.001843,walk,walking,0.099442541663042
25707,4946,5941,42.335368200000005,-83.0787774,42.3353105,-83.0787444,0.0865912734412865,6.967739999999999,walk,walking,0.0865912734412865
25708,5941,4946,42.3353105,-83.0787444,42.335368200000005,-83.0787774,0.0865912734412865,6.967739999999999,walk,walking,0.0865912734412865
25709,5941,5938,42.3353105,-83.0787444,42.3346741,-83.07838000000001,0.9552262542408689,76.864191,walk,walking,0.9552262542408689
