income,age,children,sex,bach_degree,cars,activity_sched
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,one,"['h', 'w', 'h', 'ex', 'h', 'w']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'dp', 'hos', 'bg', 'bs', 'dp', 'h']"
gt35-lt100,19 and under,yes,male,no,one,"['h', 'dp', 'bs', 'r', 'dp', 'rec', 'bg', 'bs', 'bg', 'bs', 'h', 'ex', 'h']"
gt35-lt100,19 and under,yes,male,no,one,"['h', 'dp', 'bs', 'r', 'dp', 'rec', 'bg', 'bs', 'bg', 'bs', 'h', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'h', 'ex', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,yes,male,no,two or more,"['h', 'sch', 'h', 'ex', 'h']"
gt100,35 to 60,no,female,no,one,['h']
gt35-lt100,35 to 60,yes,female,yes,one,"['h', 'dp', 'w', 'dp', 'h', 'bg', 'h', 'dp', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'bs', 'bg', 'w', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,no,female,yes,two or more,"['h', 'h', 'r', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'ex']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'w', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'bg', 'h', 'ex', 'h', 'ex', 'dp', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'ex', 'bg', 'h']"
lt35,35 to 60,no,male,yes,one,"['h', 'w', 'r', 'bs', 'w', 'h', 'ex']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
lt35,20 to 35,no,female,no,one,"['h', 'hos', 'r', 'h', 'w', 'v', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'bg', 'h', 'bg', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'bg', 'r', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'v', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'bg', 'h', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'r', 'h', 'bg', 'h', 'v', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'bs', 'h', 'bs', 'h', 'v', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'dp', 'r', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'v', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'bs', 'sch', 'h']"
gt100,35 to 60,no,male,yes,one,"['h', 'hos', 'ex', 'h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'hos', 'h']"
lt35,19 and under,yes,female,no,one,"['h', 'w', 'h', 'w']"
gt100,above 60,no,male,no,two or more,"['h', 'dp', 'w', 'dp', 'h', 'r', 'w', 'dp', 'h']"
gt100,above 60,no,female,no,two or more,"['h', 'w', 'v', 'h']"
lt35,above 60,no,female,no,one,"['h', 'dp', 'w', 'h', 'dp', 'v', 'r', 'dp', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'bg', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'ex', 'h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'hos', 'bs', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bs', 'h', 'bs', 'bg', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'bs', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'dp', 'w', 'dp', 'h', 'ex', 'r', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'rec', 'r', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'bs', 'bg', 'w', 'h']"
gt100,35 to 60,no,male,yes,one,"['h', 'w', 'r', 'w', 'r', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'bs', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'r', 'w', 'bg', 'h', 'dp', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'dp', 'rel', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'rel', 'h', 'w', 'r', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bs', 'bg', 'h', 'ex']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'bg', 'h', 'hos', 'h', 'ex']"
lt35,35 to 60,no,female,no,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'ex', 'w', 'bs', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'v', 'w', 'bg', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'ex', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
lt35,20 to 35,no,female,yes,one,"['h', 'r', 'h']"
gt35-lt100,20 to 35,no,male,yes,one,"['h', 'bg', 'r', 'rec', 'h', 'r', 'ex', 'h', 'bg', 'dp', 'bg', 'h']"
gt35-lt100,above 60,no,female,no,one,"['h', 'w', 'h', 'bs', 'r', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,male,yes,none,"['h', 'w', 'sch', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'sch', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,above 60,no,female,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,['h']
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'w', 'h']"
gt100,35 to 60,no,female,yes,one,"['h', 'w', 'h', 'bg', 'w', 'r', 'dp', 'rec', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'bs', 'bg', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'bg', 'h', 'bs', 'bg', 'r', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'ex', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'r', 'hos', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'r', 'bg', 'r', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'bs', 'h', 'v', 'h', 'r', 'bg', 'r', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'r', 'w', 'r', 'w', 'r', 'h']"
gt35-lt100,35 to 60,yes,female,yes,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'bg', 'rel', 'bg', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'rel', 'h', 'v', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'bg', 'h', 'rec', 'h']"
gt100,20 to 35,no,male,no,two or more,"['h', 'w', 'rec', 'r', 'h']"
lt35,35 to 60,no,male,no,one,"['h', 'bg', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h', 'v', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'hos', 'bg', 'h']"
gt35-lt100,20 to 35,no,male,yes,one,"['h', 'w', 'bg', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'hos', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'rec', 'h']"
lt35,20 to 35,no,male,yes,one,"['h', 'w', 'bg', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'v', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'rec', 'bg', 'h', 'rec', 'r', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'rec', 'bg', 'h', 'rec', 'r', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,no,female,no,two or more,"['h', 'sch', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'dp', 'w', 'h', 'bs', 'r', 'h', 'w', 'h', 'rec', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'ex', 'h', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'hos', 'bg', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'w']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'bg', 'v', 'dp', 'w', 'r', 'rec', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'h', 'w', 'h']"
gt100,above 60,no,female,no,two or more,"['h', 'w', 'bg', 'h', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'bg', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'r', 'w', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'bg', 'v', 'bg', 'h']"
gt100,20 to 35,no,male,no,two or more,['h']
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'h', 'bg', 'r', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'r', 'h', 'bg', 'r', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'r', 'w', 'bg', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,yes,female,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,yes,female,yes,one,"['h', 'r', 'rel', 'r', 'bg', 'h']"
lt35,35 to 60,no,male,no,none,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'w', 'bs', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'rel', 'h', 'ex', 'h', 'bs', 'bg', 'h']"
gt100,20 to 35,no,female,yes,one,"['h', 'w', 'h', 'v']"
gt100,20 to 35,no,male,yes,one,"['h', 'w', 'h', 'v']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'bg', 'h', 'w', 'ex', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'ex', 'h', 'v', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'v', 'h', 'r', 'bg', 'h']"
lt35,35 to 60,yes,female,no,two or more,"['h', 'w', 'h', 'w', 'h', 'bg', 'h']"
lt35,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'rec']"
lt35,19 and under,yes,male,no,two or more,['h']
lt35,above 60,no,female,no,one,"['h', 'w', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'w', 'h']"
lt35,35 to 60,no,female,yes,one,"['h', 'ex', 'h', 'w', 'r', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,one,"['h', 'dp', 'w', 'h']"
gt35-lt100,20 to 35,yes,male,no,one,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'bs', 'h', 'rec', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'hos', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'ex', 'h', 'w', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'w', 'bg', 'h', 'bs', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'dp', 'w', 'dp', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'r', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'v', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'v', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,yes,one,"['h', 'bg', 'dp', 'w', 'r', 'w', 'dp', 'h']"
gt100,35 to 60,no,male,yes,one,"['h', 'bg', 'w', 'rec', 'r', 'v', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'hos', 'h']"
gt35-lt100,above 60,no,male,yes,one,"['h', 'w', 'bs', 'r', 'w', 'h', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'bg', 'w', 'h']"
gt100,above 60,no,female,yes,two or more,['h']
gt100,above 60,no,male,yes,two or more,"['h', 'ex', 'w', 'bg', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'ex', 'h', 'bg', 'bs', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h', 'r', 'bg', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,['h']
gt100,35 to 60,no,female,no,two or more,"['h', 'r', 'w', 'bg', 'h', 'rec', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'w', 'r', 'h', 'rec', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'bs', 'h', 'bs', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'dp', 'bs', 'h']"
lt35,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'dp', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'w', 'h', 'rel', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'h', 'v', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'h', 'r', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,yes,female,no,one,"['h', 'dp', 'r', 'w', 'dp', 'h', 'r', 'rec', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'ex', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,['h']
gt100,35 to 60,yes,male,yes,two or more,"['h', 'bs', 'h', 'bs', 'bg', 'h', 'r', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'r', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'bs', 'bg', 'w', 'bg', 'bs', 'bg', 'v', 'h']"
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'bs', 'w', 'bs', 'h']"
lt35,35 to 60,no,female,yes,two or more,"['h', 'rel', 'bg', 'h', 'v', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,['h']
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'ex', 'w']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'r', 'v', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'r', 'v', 'h']"
gt35-lt100,35 to 60,no,female,no,one,"['h', 'w', 'r', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'w', 'r', 'bg', 'bs', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h', 'v', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'r', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,19 and under,yes,female,no,one,"['h', 'w', 'h']"
lt35,19 and under,yes,female,no,one,"['h', 'dp', 'h', 'dp', 'h', 'w']"
lt35,19 and under,yes,male,no,one,"['h', 'sch', 'bg', 'h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,one,"['h', 'w', 'h', 'bg', 'h']"
gt35-lt100,19 and under,yes,male,no,one,"['h', 'sch', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bs', 'h', 'bg', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'v', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'bg', 'w', 'dp', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'v', 'h']"
lt35,35 to 60,no,female,no,two or more,"['h', 'ex', 'h', 'bg', 'h', 'ex', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h', 'v', 'h', 'v', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'v', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h', 'hos', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,['h']
gt100,35 to 60,no,male,no,two or more,"['h', 'w', 'r', 'w', 'h', 'r', 'h']"
lt35,20 to 35,no,male,no,one,"['h', 'bg', 'h', 'dp', 'r', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'rec']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'ex', 'bg', 'h']"
lt35,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
lt35,19 and under,yes,male,no,two or more,"['h', 'sch', 'h', 'v', 'r', 'v', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w']"
lt35,above 60,no,female,yes,one,"['h', 'r', 'w', 'sch', 'h']"
lt35,20 to 35,no,male,no,one,"['h', 'w', 'h']"
lt35,20 to 35,no,male,no,one,"['h', 'bs', 'v', 'h', 'rec', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'r', 'w', 'h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'rel', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'v', 'r', 'ex', 'h', 'bg', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'v', 'r', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'r', 'rec', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'r', 'v', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'r', 'v', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bs', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'rec', 'h']"
lt35,20 to 35,yes,female,no,two or more,"['h', 'dp', 'w', 'r', 'w', 'h', 'rel', 'h']"
lt35,20 to 35,yes,male,no,two or more,"['h', 'w', 'h', 'rel', 'h']"
gt35-lt100,20 to 35,no,male,yes,none,"['h', 'w', 'h', 'rec', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'rec', 'bg', 'rec']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'rec', 'h', 'r', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'r', 'h', 'v']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'rec', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h', 'r', 'v']"
gt100,35 to 60,no,female,no,two or more,"['h', 'rel', 'h', 'w', 'h', 'bs', 'w', 'ex', 'rel', 'h']"
lt35,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'bs', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'ex', 'h']"
lt35,above 60,no,male,no,one,"['h', 'dp', 'w', 'dp', 'bg', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'v']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'v']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'bg', 'w', 'h', 'hos', 'h', 'dp', 'h']"
lt35,above 60,no,female,yes,one,"['h', 'v', 'bs', 'r', 'h', 'dp', 'h', 'v', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'rec', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'rec', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'ex', 'h', 'bg', 'h', 'w', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'hos', 'bg', 'r', 'w', 'h']"
lt35,20 to 35,no,female,yes,two or more,"['h', 'bs', 'h', 'bg', 'h', 'r', 'h']"
lt35,20 to 35,no,male,yes,two or more,"['h', 'bs', 'h', 'bg', 'h', 'r', 'h']"
lt35,35 to 60,no,male,no,one,"['h', 'ex', 'bg', 'w']"
gt100,35 to 60,yes,female,no,two or more,['h']
gt100,35 to 60,yes,male,yes,one,"['h', 'w', 'ex', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'w', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'bs', 'h', 'bg', 'h']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'r', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'bg', 'h', 'rec', 'r', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'bg', 'r', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'bg', 'r', 'h', 'bg', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'bg', 'r', 'h', 'bg', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'bg', 'r', 'h', 'bg', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'rec', 'bg', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'h', 'ex']"
lt35,above 60,no,male,no,none,"['h', 'bg', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'bs', 'bg', 'hos', 'bs', 'h', 'dp', 'bg', 'h', 'dp', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'bs', 'w']"
gt100,19 and under,yes,male,no,two or more,"['h', 'sch', 'h', 'rec', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'bg', 'h', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'dp', 'r', 'rel', 'r', 'rel', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'w', 'ex', 'h']"
gt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'r', 'w', 'h']"
