income,age,children,sex,bach_degree,cars,activity_sched
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'r', 'w', 'h', 'r', 'v', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'bs', 'ex', 'h', 'r', 'v', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'w', 'dp', 'hos', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'h', 'sch', 'h', 'w']"
lt35,35 to 60,yes,female,no,two or more,"['h', 'bs', 'h', 'w', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'w', 'bg', 'h', 'v', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h', 'bs', 'h', 'v', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'bg', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,['h']
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'w', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'hos', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,one,['h']
lt35,20 to 35,no,male,yes,one,"['h', 'w', 'rel', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
lt35,35 to 60,yes,male,no,two or more,"['h', 'rel', 'v', 'h', 'bg', 'h', 'dp', 'bg', 'h']"
gt35-lt100,above 60,no,female,yes,one,"['h', 'w', 'h', 'bg', 'ex', 'h', 'rec', 'h']"
gt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt100,20 to 35,no,male,yes,one,['h']
gt100,35 to 60,yes,male,yes,two or more,"['h', 'rec', 'bg', 'h', 'v', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'v', 'h']"
gt100,19 and under,yes,female,no,two or more,['h']
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h']"
gt35-lt100,above 60,yes,female,yes,one,"['h', 'w', 'bs', 'dp', 'w', 'h']"
lt35,above 60,no,female,no,one,"['h', 'w', 'h']"
lt35,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
lt35,35 to 60,no,female,yes,one,"['h', 'hos', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'bg', 'w', 'bg', 'h']"
lt35,35 to 60,yes,female,no,one,"['h', 'w', 'r', 'dp', 'h']"
gt100,20 to 35,no,female,yes,one,"['h', 'bg', 'w', 'h', 'r', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'r', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'w', 'h', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'r', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'rel', 'h', 'bg', 'bs', 'bg', 'h', 'rel', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'ex', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h', 'r', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'bg', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
lt35,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'ex', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'r', 'bg', 'h', 'rel', 'bg', 'r', 'h', 'w']"
gt35-lt100,35 to 60,yes,female,no,two or more,['h']
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'bs', 'bg', 'bs', 'h']"
gt35-lt100,20 to 35,yes,male,no,two or more,"['h', 'bs', 'bg', 'bs', 'r', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'rec', 'bg', 'h', 'bg', 'v', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'rec', 'bg', 'h', 'r', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'hos', 'w', 'bs', 'w', 'hos', 'h', 'bs', 'h', 'ex']"
