aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6239,42.3255322,-83.0636284,5831006065,True,42.3257900,-83.0638173,5042980022,4.167,32.60222679927115,True,25.0,11.25,[],[],616815446,[],[],service,1.11,0.1303984753190591,0.4895229249139812,0.048299595258179485
6240,42.3254814,-83.0635842,5831006066,True,42.3255322,-83.0636284,5831006065,4.167,6.7165058471607235,True,25.0,11.25,[],[],616815446,[],[],service,1.11,0.026863874278700597,0.1008484361435544,0.0099503790328307
6241,42.3259993,-83.0634557,5831006068,True,42.3260529,-83.0635008,5831006067,4.167,7.019169289966576,True,25.0,11.25,[],[],616815447,[],[],service,1.11,0.028074431205369878,0.10539293228178041,0.010398769318469002
6242,42.3256603,-83.0631795,5831006069,True,42.3259993,-83.0634557,5831006068,4.167,44.005604591898724,True,25.0,11.25,[],[],616815447,[],[],service,1.11,0.17600833770057886,0.660744813692173,0.0651934882842944
6243,42.3259415,-83.0629185,5831006075,True,42.3258466,-83.0631387,5831006074,4.167,20.953614180378064,True,25.0,11.25,[],[],616815455,[],[],service,1.11,0.08380775210134415,0.31461883153720815,0.031042391378337874
6244,42.3260054,-83.0627814,5831006076,True,42.3259415,-83.0629185,5831006075,4.167,13.323630590088094,True,25.0,11.25,[],[],616815455,[],[],service,1.11,0.0532902591396212,0.20005451336468608,0.019738711985315693
6245,42.3253144,-83.0650405,5923599374,True,42.3253706,-83.0650815,5831029298,4.167,7.100209907306047,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.028398567743804684,0.10660975836795865,0.010518829492305254
6246,42.3253018,-83.0650313,5831029299,True,42.3253144,-83.0650405,5923599374,4.167,1.5921678536638308,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.006368161961698387,0.023906424229186648,0.002358767190613083
6247,42.3251882,-83.0649519,5831029305,True,42.3253018,-83.0650313,5831029299,4.167,14.21861870872742,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.05686992524089041,0.2134927734043156,0.021064620309225804
6248,42.3250196,-83.0648340,5831029300,True,42.3251882,-83.0649519,5831029305,4.167,21.104836166517618,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.08441259165873777,0.31688943192969393,0.03126642395039647
6249,42.3251004,-83.0646358,5831029301,True,42.3250196,-83.0648340,5831029300,4.167,18.606999532562032,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.07442204436669879,0.2793843773657963,0.027565925233425232
6250,42.3250282,-83.0645804,5831029302,True,42.3251004,-83.0646358,5831029301,4.167,9.230183644505217,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.036917781155528434,0.13859134601359185,0.01367434614000773
6251,42.3251146,-83.0643732,5831029308,True,42.3250282,-83.0645804,5831029302,4.167,19.55649701125946,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.07821973046660052,0.293641096265157,0.028972588164828828
6252,42.3251898,-83.0641927,5831029303,True,42.3251146,-83.0643732,5831029308,4.167,17.03278417009205,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.06812568662543818,0.2557475100614422,0.025233754326062296
6253,42.3253010,-83.0642787,5831029309,True,42.3251898,-83.0641927,5831029303,4.167,14.243461634121285,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.05696928899336567,0.21386579030212138,0.021101424643142644
6254,42.3254366,-83.0643836,5831029304,True,42.3253010,-83.0642787,5831029309,4.167,17.370020907575714,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.0694745256682494,0.26081112473837403,0.025733364307519577
6255,42.3253564,-83.0645672,5831029307,True,42.3254366,-83.0643836,5831029304,4.167,17.531385393753443,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.07011993198045534,0.26323401492122284,0.025972422805560655
