,aNode_bNode,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,type,name,speed,ref,osmid,oneway,distance,activity,minutes
3507,6993675539_6789947104,6993675539,6789947104,42.3267875,-83.070697,42.3265407,-83.0705613,service,[],[],[],747425776,[],29.623678979852823,driving,0.059271066386260146
3508,6993694750_6993694752,6993694750,6993694752,42.3296201,-83.083513,42.32965479999999,-83.0834037,service,[],[],[],747425787,[],9.778400268663276,driving,0.019564626387881704
3509,6993694752_6993694751,6993694752,6993694751,42.32965479999999,-83.0834037,42.32969310000001,-83.0832834,service,[],[],[],747425787,[],10.76723198995534,driving,0.021543081212395638
3510,6993694755_6993694760,6993694755,6993694760,42.330755700000005,-83.0761207,42.3307824,-83.07603320000001,service,[],[],[],747425791,[],7.781404647860434,driving,0.015569036910485062
3511,6993694760_6993694756,6993694760,6993694756,42.3307824,-83.07603320000001,42.3308965,-83.0756591,service,[],[],[],747425791,[],33.266519864165765,driving,0.06655966359376904
3512,6993694756_6993694757,6993694756,6993694757,42.3308965,-83.0756591,42.3306908,-83.07554040000001,service,[],[],[],747425791,[],24.867117438133572,driving,0.0497541365308795
3513,6993694757_6993694759,6993694757,6993694759,42.3306908,-83.07554040000001,42.3305732,-83.0759177,service,[],[],[],747425791,[],33.65920934663449,driving,0.06734535683600339
3514,6993694759_6993694758,6993694759,6993694758,42.3305732,-83.0759177,42.3305449,-83.0760085,service,[],[],[],747425791,[],8.100286379742451,driving,0.01620705558171759
3515,6993699848_6993699849,6993699848,6993699849,42.3314708,-83.0853916,42.331465,-83.0860836,primary,Michigan Avenue,35 mph,US 12,747431037,[],56.88751730054823,driving,0.11382056282622695
3516,6993699849_6993699850,6993699849,6993699850,42.331465,-83.0860836,42.331461600000004,-83.086608,primary,Michigan Avenue,35 mph,US 12,747431038,[],43.10844846041126,driving,0.08625139747981445
3517,6993699850_4956715008,6993699850,4956715008,42.331461600000004,-83.086608,42.3314575,-83.0869858,primary,Michigan Avenue,35 mph,US 12,747431039,[],31.05930808900823,driving,0.06214347356744344
3518,6993699864_62976279,6993699864,62976279,42.3314758,-83.0841086,42.3314755,-83.08423420000001,primary,Michigan Avenue,35 mph,US 12,747431051,[],10.324637869366654,driving,0.020657538754235
3519,6993699866_62976279,6993699866,62976279,42.3313941,-83.08422759999999,42.3314755,-83.08423420000001,residential,20th Street,[],[],747431052,[],9.067512240107046,driving,0.0181422813927712
3520,62552298_282145478,62552298,282145478,42.3328682,-83.08746049999999,42.3327776,-83.0873071,motorway_link,[],[],[],747433414,yes,16.139734404191845,driving,0.032292385762688766
3521,282145478_62552302,282145478,62552302,42.3327776,-83.0873071,42.3325933,-83.08696390000001,motorway_link,[],[],[],747433414,yes,34.86897086587945,driving,0.06976584807098729
3522,7037666778_7037666782,7037666778,7037666782,42.3392287,-83.0777879,42.339510499999996,-83.07691170000001,service,[],[],[],753196678,[],78.53809998216317,driving,0.15713905558656097
3523,7037666782_7037666779,7037666782,7037666779,42.339510499999996,-83.07691170000001,42.3395689,-83.07672990000002,service,[],[],[],753196678,[],16.292492757266473,driving,0.03259802472442271
3524,7037666779_2397822426,7037666779,2397822426,42.3395689,-83.07672990000002,42.3395946,-83.0766493,service,[],[],[],753196678,[],7.214727937176671,driving,0.014435229966339879
3525,7037666782_7037666781,7037666782,7037666781,42.339510499999996,-83.07691170000001,42.339641799999995,-83.07699790000001,service,[],[],[],753196679,yes,16.228149303466953,driving,0.03246928632146249
3526,7037666781_7037666780,7037666781,7037666780,42.339641799999995,-83.07699790000001,42.3393854,-83.0778662,service,[],[],[],753196679,yes,76.85105791675858,driving,0.15376362128202997
3527,7037666780_7037666778,7037666780,7037666778,42.3393854,-83.0778662,42.3392287,-83.0777879,service,[],[],[],753196679,yes,18.57475595441453,driving,0.03716437765989302
3528,7037666778_7037713990,7037666778,7037713990,42.3392287,-83.0777879,42.339197999999996,-83.07787330000001,service,[],[],[],753196680,yes,7.805277062070645,driving,0.01561680084447908
3529,7037713990_7037713989,7037713990,7037713989,42.339197999999996,-83.07787330000001,42.3391588,-83.07789759999999,service,[],[],[],753196680,yes,4.794639626480792,driving,0.009593116499561408
3530,7037713989_7037713988,7037713989,7037713988,42.3391588,-83.07789759999999,42.3391065,-83.07789090000001,service,[],[],[],753196680,yes,5.841509598377378,driving,0.011687694274464542
3531,7037713988_7037713987,7037713988,7037713987,42.3391065,-83.07789090000001,42.3390494,-83.0778666,service,[],[],[],753196680,yes,6.655960597833595,driving,0.013317248094905152
3532,7037713987_7037713986,7037713987,7037713986,42.3390494,-83.0778666,42.3390183,-83.0778247,service,[],[],[],753196680,yes,4.880473063852903,driving,0.009764852068533218
3533,7037713986_7037713985,7037713986,7037713985,42.3390183,-83.0778247,42.339006899999994,-83.0777473,service,[],[],[],753196680,yes,6.486743491721017,driving,0.012978678454823964
3534,7037713985_7037666784,7037713985,7037666784,42.339006899999994,-83.0777473,42.339015100000005,-83.07767659999999,service,[],[],[],753196680,yes,5.882092114444512,driving,0.011768891785603265
3535,7037666784_7037666783,7037666784,7037666783,42.339015100000005,-83.07767659999999,42.3392874,-83.0767749,service,[],[],[],753196680,yes,80.05907870559741,driving,0.16018223030331616
3536,7037666783_7037666782,7037666783,7037666782,42.3392874,-83.0767749,42.339510499999996,-83.07691170000001,service,[],[],[],753196680,yes,27.23674284625202,driving,0.05449528380602645
3537,62913636_7181797607,62913636,7181797607,42.330804,-83.071446,42.3308329,-83.07132879999999,service,[],[],[],769389766,[],10.156000967866714,driving,0.02032012998772852
3538,7181797607_7181797608,7181797607,7181797608,42.3308329,-83.07132879999999,42.3308929,-83.0711458,service,[],[],[],769389766,[],16.456224277780333,driving,0.032925618803081896
3539,7181797608_7181797609,7181797608,7181797609,42.3308929,-83.0711458,42.3308903,-83.0707225,service,[],[],[],769389766,[],34.797673772343835,driving,0.06962319682341704
3540,7181797609_7181797610,7181797609,7181797610,42.3308903,-83.0707225,42.330637200000005,-83.07056419999999,service,[],[],[],769389766,[],31.006199188423356,driving,0.06203721326215157
3541,7181797610_7181797611,7181797610,7181797611,42.330637200000005,-83.07056419999999,42.330802500000004,-83.0700339,service,[],[],[],769389766,[],47.30890024629257,driving,0.09465566275768822
3542,7181797611_7181797612,7181797611,7181797612,42.330802500000004,-83.0700339,42.3308309,-83.0699517,service,[],[],[],769389766,[],7.4586015701284945,driving,0.014923172409220677
3543,7181797608_7181797613,7181797608,7181797613,42.3308929,-83.0711458,42.3311498,-83.0711613,service,[],[],[],769389767,[],28.594378109926552,driving,0.05721164087620358
3544,7181797613_7181797614,7181797613,7181797614,42.3311498,-83.0711613,42.3311625,-83.07051609999999,service,[],[],[],769389767,[],53.05586255388442,driving,0.10615418678248183
3545,7181797614_7181797615,7181797614,7181797615,42.3311625,-83.07051609999999,42.33122,-83.0702931,service,[],[],[],769389767,[],19.414186144974607,driving,0.03884390985389077
3546,7181797615_7181797616,7181797615,7181797616,42.33122,-83.0702931,42.3312343,-83.07018000000001,service,[],[],[],769389767,[],9.432091130164961,driving,0.018871730952711007
3547,7181797617_7181797621,7181797617,7181797621,42.3309392,-83.0700131,42.33096389999999,-83.0699282,service,[],[],[],769389768,[],7.500001031530509,driving,0.015006004464846956
3548,7181797621_7181797618,7181797621,7181797618,42.33096389999999,-83.0699282,42.3310098,-83.06975729999999,service,[],[],[],769389768,[],14.946844379745006,driving,0.02990565101989797
3549,7181797618_7181797619,7181797618,7181797619,42.3310098,-83.06975729999999,42.3312594,-83.0697609,service,[],[],[],769389768,[],27.75583131558386,driving,0.05553387618164037
3550,7181797619_7181797620,7181797619,7181797620,42.3312594,-83.0697609,42.3314015,-83.06975179999999,service,[],[],[],769389768,[],15.818496027209044,driving,0.03164965191518416
3551,333464827_62597279,333464827,62597279,42.334625200000005,-83.0712243,42.3347292,-83.0712838,residential,Cochrane Street,[],[],8732350,[],12.555958195984607,driving,0.02512196517804043
3552,4519288167_62614034,4519288167,62614034,42.326686200000005,-83.0800694,42.326742700000004,-83.07989659999998,residential,Johnson Street,[],[],8733713,[],15.532836164617553,driving,0.03107810357066337
3553,62614040_4519288167,62614040,4519288167,42.326742700000004,-83.07989659999998,42.326906,-83.0793969,residential,Johnson Street,[],[],8733713,[],44.913662966541175,driving,0.08986327124157897
3554,4691680315_62615796,4691680315,62615796,42.3333783,-83.0823276,42.333439500000004,-83.08211159999999,residential,Perry Street,[],[],8733880,[],19.014564301334836,driving,0.03804434634120615
3555,62615799_4691680315,62615799,4691680315,42.333439500000004,-83.08211159999999,42.3334863,-83.0819758,residential,Perry Street,[],[],8733880,[],12.316108100677605,driving,0.024642073030567434
3556,4691680313_62615799,4691680313,62615799,42.3334863,-83.0819758,42.3335572,-83.08174890000001,residential,Perry Street,[],[],8733880,[],20.248820125491285,driving,0.040513845789298286
3557,62615800_4691680313,62615800,4691680313,42.3335572,-83.08174890000001,42.333582799999995,-83.0816671,residential,Perry Street,[],[],8733880,[],7.301644634447283,driving,0.014609132922063391
3558,5698733958_62615800,5698733958,62615800,42.333582799999995,-83.0816671,42.333919,-83.0805926,residential,Perry Street,[],[],8733880,[],95.90875566920141,driving,0.19189426904602122
3559,62615802_5698733958,62615802,5698733958,42.333919,-83.0805926,42.3339473,-83.08050209999999,residential,Perry Street,[],[],8733880,[],8.077200488195377,driving,0.01616086532251976
3560,4691680295_62615802,4691680295,62615802,42.3339473,-83.08050209999999,42.3339722,-83.08042259999999,residential,Perry Street,[],[],8733880,[],7.097163191416311,driving,0.014200006385386777
3561,62615804_4691680295,62615804,4691680295,42.3339722,-83.08042259999999,42.334254,-83.0795218,residential,Perry Street,[],[],8733880,[],80.40186838549073,driving,0.1608680840045833
