"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"65","H","H","H","H","H","H","H","H","H","H","H","P","G","G","H","H","H","R","R","H","H","H","H","H",65,2,"Afternoon Adventurers"
"66","H","H","H","H","R","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",66,0,"Homemakers"
"67","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",67,0,"Homemakers"
"68","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",68,0,"Homemakers"
"69","H","H","H","H","H","H","D","P","P","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",69,0,"Homemakers"
"70","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",70,0,"Homemakers"
"71","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","D","E","H","H","H","H","H",71,0,"Homemakers"
"72","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","D","E","H","H","H","H","H",72,0,"Homemakers"
"73","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",73,0,"Homemakers"
"74","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",74,0,"Homemakers"
"75","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",75,0,"Homemakers"
"76","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",76,1,"9-to-5ers"
"77","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","S","H","H","H","H","H","H","H",77,1,"9-to-5ers"
"78","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",78,1,"9-to-5ers"
"79","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","H","H","H","H","H","H","H","H",79,0,"Homemakers"
"80","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H",80,0,"Homemakers"
"81","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",81,1,"9-to-5ers"
"82","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","E","E","E","E","H","H","H","H","H",82,1,"9-to-5ers"
"83","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",83,1,"9-to-5ers"
"84","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",84,1,"9-to-5ers"
"85","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","R","R","R","R","H","H",85,1,"9-to-5ers"
"86","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","S","S","R","R","R","R","H","H",86,1,"9-to-5ers"
"87","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",87,0,"Homemakers"
"88","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",88,0,"Homemakers"
"89","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","R","R","H","H","H","H","H","H","H",89,0,"Homemakers"
"90","H","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","H","H","H","H","H","H","H","H",90,0,"Homemakers"
"91","H","H","H","H","H","H","H","H","H","H","H","H","V","V","V","V","V","V","V","H","H","H","H","H",91,4,"Socialites"
"92","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","R","R","R","H","H","H",92,1,"9-to-5ers"
"93","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","W","G","H","H","H","H",93,1,"9-to-5ers"
"94","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","X","X","H","H","H","H","H",94,1,"9-to-5ers"
"95","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",95,5,"Work-Life Balancers"
"96","H","H","H","H","H","H","H","H","H","S","G","H","H","H","H","H","H","H","H","H","H","H","H","H",96,0,"Homemakers"
"97","H","H","H","H","H","H","H","H","H","H","H","H","H","H","E","E","H","H","H","H","H","H","H","H",97,0,"Homemakers"
"98","H","H","H","H","H","H","H","H","H","H","H","H","G","H","H","V","V","E","E","H","H","H","H","H",98,0,"Homemakers"
"99","H","H","H","H","H","H","H","H","H","H","H","H","H","D","H","V","V","E","E","H","H","H","H","H",99,0,"Homemakers"
"100","H","H","H","H","H","H","H","X","X","X","X","H","H","H","V","V","V","H","H","H","H","H","H","H",100,4,"Socialites"
"101","H","H","H","H","H","H","H","H","H","H","H","H","R","R","H","H","H","H","H","H","H","H","H","H",101,2,"Afternoon Adventurers"
"102","H","H","H","H","H","H","H","H","H","H","H","H","H","R","H","H","H","H","H","H","H","H","H","H",102,0,"Homemakers"
"103","H","H","H","H","H","H","H","H","H","X","X","H","H","W","H","H","H","H","H","H","H","H","H","H",103,0,"Homemakers"
"104","H","H","H","H","H","H","H","H","H","H","H","P","P","P","G","G","H","H","H","X","X","X","X","X",104,0,"Homemakers"
"105","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",105,5,"Work-Life Balancers"
"106","H","H","H","H","H","H","H","H","H","H","H","G","V","V","V","V","V","H","H","H","H","H","H","H",106,4,"Socialites"
"107","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",107,0,"Homemakers"
"108","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",108,0,"Homemakers"
"109","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",109,0,"Homemakers"
"110","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",110,0,"Homemakers"
"111","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",111,0,"Homemakers"
"112","H","H","H","H","H","H","H","W","W","W","W","W","W","W","S","W","D","H","H","H","H","D","H","H",112,5,"Work-Life Balancers"
"113","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","E","E","E","E","H","H",113,1,"9-to-5ers"
"114","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",114,1,"9-to-5ers"
"115","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","H","H","H","H","H","H","H","H","H",115,5,"Work-Life Balancers"
"116","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","G","H","H","H","H","H","H",116,1,"9-to-5ers"
"117","H","H","H","H","H","H","H","W","W","W","W","W","W","S","W","W","W","H","H","H","H","H","H","H",117,1,"9-to-5ers"
"118","H","H","H","H","H","H","H","H","H","H","H","H","H","H","D","H","H","H","D","H","H","H","H","H",118,0,"Homemakers"
"119","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",119,0,"Homemakers"
"120","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",120,1,"9-to-5ers"
"121","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",121,0,"Homemakers"
"122","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H",122,5,"Work-Life Balancers"
"123","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","H","H","H","H","H","H","H","H","H",123,5,"Work-Life Balancers"
"124","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",124,0,"Homemakers"
"125","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",125,1,"9-to-5ers"
"126","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",126,0,"Homemakers"
"127","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",127,0,"Homemakers"
