P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,id
H,H,H,H,H,H,H,H,H,H,P,P,Z,Z,C,H,H,H,H,H,H,H,H,H,3928
H,H,H,H,H,H,H,H,H,W,E,E,G,S,H,H,H,H,H,H,H,H,H,H,3929
H,H,H,H,H,H,H,H,H,H,H,G,R,R,R,V,S,H,H,H,H,H,H,H,3930
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3931
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,3932
H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,3933
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,3934
H,H,H,H,H,H,W,W,W,W,W,H,H,V,V,H,E,H,H,H,H,H,H,H,3935
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,H,H,3936
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,H,H,H,H,H,H,H,3937
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,Z,Z,H,H,H,H,3938
H,H,H,H,H,H,H,H,H,H,H,H,E,S,R,R,H,G,E,H,H,H,H,H,3939
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,3940
H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,D,H,H,H,H,H,H,H,H,3941
H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,3942
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,3943
H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,D,H,H,H,H,H,W,W,W,3944
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3945
H,H,H,H,H,H,H,H,H,D,H,H,H,D,D,D,H,H,H,H,H,H,H,H,3946
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,3947
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3948
H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,G,G,G,H,H,H,H,H,3949
H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,3950
H,H,H,H,H,H,H,H,H,H,H,H,G,S,H,W,W,W,H,H,H,H,H,H,3951
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3952
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3953
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3954
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3955
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,3956
H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,3957
H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3958
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,3959
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3960
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,3961
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,3962
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,V,V,H,H,H,H,H,H,H,3963
H,H,H,H,H,H,H,X,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3964
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3965
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3966
H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,H,H,3967
H,H,H,H,H,H,H,H,H,H,H,H,E,E,H,H,H,H,H,H,H,H,H,H,3968
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3969
H,H,H,H,H,H,H,H,H,H,W,W,W,P,P,H,H,H,H,H,H,H,H,H,3970
H,H,H,H,H,H,H,H,H,H,H,H,P,P,P,E,H,H,H,H,H,H,H,H,3971
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3972
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3973
H,H,H,H,H,H,H,H,H,H,H,R,G,R,R,R,R,R,E,R,X,X,X,X,3974
H,H,H,H,H,H,H,W,E,E,E,E,W,W,W,W,W,W,E,H,H,H,H,H,3975
H,H,H,H,H,H,H,H,H,H,H,R,G,R,X,X,X,X,E,R,X,X,X,X,3976
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3977
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3978
H,H,H,H,H,H,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,3979
H,H,H,H,H,H,H,W,W,W,W,W,W,W,X,X,X,G,H,H,H,H,H,H,3980
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3981
H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,V,V,V,V,H,H,H,3982
H,H,H,H,H,H,H,H,H,H,H,W,P,W,W,W,W,W,W,W,W,W,W,W,3983
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,3984
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,C,C,C,H,H,H,H,3985
H,H,H,H,H,H,H,H,H,H,H,X,H,H,H,H,H,H,H,H,H,H,H,H,3986
H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,3987
H,H,H,H,H,H,H,H,H,H,X,X,X,X,H,H,H,H,H,H,H,H,H,H,3988
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3989
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3990
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,H,3991
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,3992
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3993
H,H,H,H,H,H,H,H,H,H,V,H,V,V,H,H,H,H,G,H,H,H,H,H,3994
H,H,H,H,H,H,H,H,H,G,H,H,H,H,G,G,H,H,H,H,H,H,H,H,3995
H,H,H,H,H,H,H,H,H,G,H,G,H,H,H,H,H,H,G,H,H,H,H,H,3996
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,3997
H,H,H,H,H,H,H,H,H,W,W,E,W,W,W,W,W,W,W,W,G,H,H,H,3998
H,H,H,H,H,H,H,H,H,H,H,H,S,S,G,S,G,G,G,H,H,H,H,H,3999
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4000
H,H,H,H,H,H,V,E,X,X,X,X,X,X,X,H,H,H,H,H,H,H,H,H,4001
H,H,H,H,H,H,V,E,X,X,X,X,X,X,X,H,H,H,H,H,H,H,H,H,4002
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,4003
H,H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,H,H,H,H,H,4004
H,H,H,H,H,H,H,H,Z,Z,Z,H,S,S,S,E,E,E,H,H,H,H,H,H,4005
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4006
H,H,H,H,H,H,H,H,Z,Z,Z,Z,Z,Z,Z,Z,H,H,H,H,H,H,H,H,4007
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,E,E,H,H,H,4008
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,E,E,H,H,H,4009
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4010
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4011
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4012
H,H,H,H,H,H,H,H,H,H,H,P,P,R,R,R,S,S,V,H,H,H,H,H,4013
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4014
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4015
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4016
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,R,R,R,H,H,4017
H,H,H,H,H,H,H,H,H,H,R,R,R,R,R,R,R,R,R,R,R,R,R,R,4018
H,H,H,H,H,H,H,H,H,H,R,R,R,R,R,R,R,R,R,R,R,R,R,R,4019
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4020
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4021
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4022
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4023
H,H,H,H,H,H,W,W,W,W,H,E,V,V,V,V,V,V,V,V,V,V,V,V,4024
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,V,V,V,H,H,4025
H,H,H,H,H,H,H,E,E,G,G,R,R,R,R,R,R,R,R,R,R,R,R,R,4026
H,H,H,H,H,X,H,H,E,D,G,V,V,V,V,H,H,H,H,H,H,H,H,H,4027
H,H,H,H,H,H,H,H,E,D,G,V,V,V,V,H,H,H,H,H,H,H,H,H,4028
H,H,H,H,H,H,H,H,H,W,W,W,R,R,R,R,R,H,Z,Z,H,H,H,H,4029
H,H,H,H,H,H,Z,H,W,W,W,W,S,W,W,W,X,X,Z,Z,H,H,H,H,4030
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,4031
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4032
H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,4033
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4034
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4035
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4036
H,H,H,H,W,W,W,W,W,W,W,W,W,W,D,G,H,H,H,H,H,H,H,H,4037
H,H,H,H,H,H,H,H,W,P,H,H,H,W,P,H,H,H,H,H,H,H,H,H,4038
H,H,H,H,H,H,H,H,H,H,H,H,H,W,P,H,H,H,H,H,H,H,H,H,4039
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4040
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4041
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4042
H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,4043
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,4044
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,4045
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4046
H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,V,V,V,V,H,H,H,H,H,4047
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4048
H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,4049
H,H,H,H,H,H,H,G,H,P,H,D,H,H,H,H,H,H,H,H,H,H,H,H,4050
H,H,H,H,H,H,H,V,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,4051
H,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,V,V,H,H,H,H,4052
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,R,R,R,H,H,4053
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,R,R,R,R,R,H,H,4054
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4055
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,4056
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4057
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4058
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,G,H,H,H,H,H,H,4059
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,4060
H,H,H,H,H,H,H,H,H,H,R,R,H,G,G,G,H,H,H,H,H,H,H,H,4061
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,4062
H,H,H,H,H,H,H,H,H,H,S,S,H,H,H,H,H,H,H,H,H,H,H,H,4063
H,H,H,H,H,H,H,H,X,H,G,H,H,W,W,W,W,W,W,W,H,H,H,H,4064
H,H,H,H,H,H,H,P,P,G,W,W,W,W,W,W,W,W,H,H,H,H,H,H,4065
H,H,H,H,H,H,H,H,H,W,W,W,H,H,H,H,H,H,H,H,H,H,H,H,4066
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4067
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,4068
H,H,H,X,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,4069
