P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,id
H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,V,V,V,V,V,V,V,2102
H,H,H,H,H,H,H,H,H,P,H,H,E,E,G,H,H,H,H,H,H,H,H,H,2103
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2104
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2105
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2106
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2107
H,H,H,H,H,H,H,H,H,H,H,H,H,S,G,H,H,H,H,H,H,H,H,H,2108
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,2109
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2110
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2111
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,2112
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2113
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2114
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2115
H,H,H,H,H,H,H,H,H,W,W,W,G,G,G,H,H,H,H,H,H,H,H,H,2116
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2117
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2118
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2119
H,H,H,H,H,H,H,D,G,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,2120
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,2121
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2122
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,2123
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2124
H,H,H,H,H,H,H,W,D,W,D,W,W,W,W,D,H,R,R,R,G,H,H,H,2125
H,H,H,H,H,H,H,P,P,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2126
H,H,H,H,H,H,H,P,P,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2127
H,H,H,H,H,H,H,H,H,W,G,H,H,H,H,H,H,H,H,G,H,H,H,H,2128
H,H,H,H,H,H,H,H,H,H,H,H,S,S,H,S,H,H,H,H,H,H,H,H,2129
H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,S,S,S,E,E,H,H,H,H,2130
H,H,H,H,H,H,H,W,W,W,W,W,W,V,V,V,G,H,E,E,H,H,H,H,2131
H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,X,X,R,R,R,R,H,2132
H,H,H,H,H,H,H,W,W,W,W,H,H,H,H,H,W,W,W,W,H,H,H,H,2133
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,2134
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2135
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,2136
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2137
H,H,H,H,H,H,H,H,H,E,W,W,W,W,W,W,W,W,H,H,H,H,H,H,2138
H,H,H,H,H,H,Z,W,W,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2139
H,H,H,H,H,X,H,H,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,2140
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2141
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,H,H,H,H,2142
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2143
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2144
H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,H,H,H,H,H,H,2145
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2146
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2147
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,2148
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,2149
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2150
H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,Z,Z,H,H,H,H,H,2151
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2152
H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,V,H,H,H,H,H,H,H,2153
H,H,H,H,H,H,D,H,E,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2154
H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,2155
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2156
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2157
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2158
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2159
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2160
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2161
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2162
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2163
H,H,H,H,H,H,H,H,H,S,X,X,H,H,H,H,H,H,H,H,H,H,H,H,2164
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2165
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,E,H,H,H,2166
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,E,H,H,H,2167
H,H,H,H,H,H,H,H,H,H,H,P,H,S,S,H,H,E,G,H,H,H,H,H,2168
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2169
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2170
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2171
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,2172
H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,H,H,H,H,H,H,H,2173
H,H,H,H,H,H,H,H,H,H,H,H,H,H,S,G,H,S,S,V,H,H,H,H,2174
H,H,H,H,H,H,H,H,W,W,W,H,W,W,W,W,P,H,H,H,H,H,H,H,2175
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,P,H,H,H,H,H,H,H,2176
H,H,H,H,H,H,H,W,W,W,W,W,E,W,W,W,W,H,H,H,H,H,H,H,2177
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2178
H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,E,E,E,E,E,E,E,E,E,2179
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2180
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2181
H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2182
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2183
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2184
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2185
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2186
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,R,R,G,H,H,W,W,W,2187
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2188
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2189
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2190
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2191
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,E,X,X,X,X,X,X,2192
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,E,X,X,X,X,X,X,2193
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2194
H,H,H,H,H,H,H,H,H,H,H,H,H,H,Z,H,H,H,H,H,H,H,H,H,2195
H,H,H,H,H,H,H,H,H,H,H,H,H,H,Z,E,H,H,H,H,H,H,H,H,2196
H,H,H,H,H,W,W,W,W,W,W,W,E,W,H,H,H,H,H,H,H,H,H,H,2197
H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2198
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2199
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,V,R,R,R,H,H,H,2200
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2201
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,V,V,V,V,H,H,H,2202
H,H,H,H,H,H,H,X,S,X,X,H,H,H,G,H,H,H,H,H,H,H,H,H,2203
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,V,H,H,H,H,2204
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,E,H,H,H,H,H,2205
H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,2206
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,E,E,E,E,E,E,2207
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,E,H,H,H,H,H,2208
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2209
H,H,H,H,H,H,H,H,H,R,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2210
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2211
H,H,H,H,H,H,H,H,W,W,W,H,H,H,W,H,H,H,H,H,H,H,H,H,2212
H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2213
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,H,H,H,2214
H,H,H,H,H,H,Z,Z,Z,Z,Z,Z,Z,H,H,H,H,H,H,H,H,H,H,H,2215
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2216
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2217
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2218
H,H,H,H,H,H,H,H,H,S,D,Z,Z,Z,Z,Z,Z,Z,Z,Z,R,R,R,R,2219
H,H,H,H,H,H,H,H,R,W,W,W,W,W,G,W,W,W,W,W,H,H,H,H,2220
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2221
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2222
H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,H,H,H,H,H,H,H,2223
H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,2224
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,D,D,D,D,H,H,H,H,2225
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,H,H,H,H,H,2226
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,2227
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2228
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2229
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2230
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,2231
H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2232
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2233
H,H,H,H,H,H,H,P,P,P,E,E,E,E,H,H,H,H,H,H,H,H,H,H,2234
H,H,H,H,H,H,H,H,H,V,E,E,E,E,E,E,E,E,H,H,H,H,H,H,2235
H,H,H,H,H,H,H,H,H,V,E,E,E,E,E,E,E,E,H,H,H,H,H,H,2236
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,2237
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2238
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,X,X,X,X,X,X,2239
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,X,2240
H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,2241
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2242
H,H,H,H,H,H,H,H,W,W,W,E,E,W,W,W,W,H,H,H,H,H,H,H,2243
H,H,H,H,H,H,H,H,E,E,H,H,H,G,H,H,H,H,H,H,H,H,H,H,2244
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2245
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,H,2246
H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,H,H,H,H,H,H,H,H,H,2247
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,2248
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2249
H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,2250
H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,2251
H,H,H,H,H,H,H,H,H,H,H,X,H,H,H,H,H,H,H,H,H,H,H,H,2252
H,H,H,H,H,H,H,W,W,W,W,X,W,W,W,W,H,X,H,H,H,H,H,H,2253
H,H,H,H,H,H,Z,Z,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2254
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2255
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,G,R,R,R,R,R,R,H,2256
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2257
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2258
H,H,H,H,H,H,H,E,W,W,W,W,W,W,W,W,V,V,V,H,H,H,H,H,2259
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,2260
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2261
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,H,E,E,E,H,2262
H,H,H,H,H,H,H,H,H,H,X,H,H,H,H,H,H,H,H,H,E,E,E,H,2263
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2264
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2265
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2266
H,H,H,H,H,H,H,H,H,P,P,H,H,H,H,H,H,H,H,H,H,H,H,H,2267
H,H,H,H,H,H,H,H,H,P,P,W,W,W,W,W,W,H,H,H,H,H,H,H,2268
H,H,H,H,H,H,P,P,P,P,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2269
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2270
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2271
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,W,W,W,W,H,H,H,H,2272
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2273
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2274
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2275
H,H,H,H,H,H,H,H,W,W,W,E,W,W,W,W,W,R,R,H,X,H,H,H,2276
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2277
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2278
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2279
H,H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,H,2280
H,H,H,H,H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,H,H,2281
H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2282
H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,H,D,D,E,H,H,H,H,H,2283
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2284
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2285
H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,2286
H,H,H,H,H,H,H,H,H,X,X,X,H,H,H,H,H,H,H,H,H,H,H,H,2287
H,H,H,H,H,H,H,H,H,H,S,H,H,H,H,H,H,H,H,H,H,H,H,H,2288
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2289
H,H,H,H,H,H,H,H,H,H,W,W,W,W,S,S,S,S,S,H,H,H,H,H,2290
H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,2291
H,H,H,H,H,H,H,H,H,H,G,G,G,G,H,H,H,V,H,H,H,H,H,H,2292
H,H,H,H,H,H,H,E,R,R,R,R,R,E,H,H,R,R,R,R,R,H,H,H,2293
H,H,H,H,H,W,W,W,W,W,W,W,W,W,V,V,V,E,H,H,H,H,H,H,2294
H,H,H,H,H,H,H,H,H,H,H,H,E,E,G,G,V,V,V,V,V,V,V,V,2295
H,H,H,H,H,H,H,H,H,H,H,H,X,W,S,H,H,H,H,H,H,H,H,H,2296
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,S,W,W,H,H,H,H,H,2297
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,H,H,H,H,H,H,H,2298
H,H,H,H,H,H,H,H,D,H,D,G,H,H,H,H,H,H,H,H,H,H,H,H,2299
H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,2300
H,H,H,H,H,H,C,W,W,W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,2301
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,X,X,X,X,X,X,2302
H,H,H,H,H,H,H,H,H,H,H,P,P,H,H,H,H,H,H,H,H,H,H,H,2303
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2304
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2305
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2306
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2307
H,H,H,H,H,H,H,H,H,V,V,V,V,V,V,H,H,H,H,H,H,H,H,H,2308
H,H,H,H,H,H,H,H,H,V,V,V,V,H,G,G,G,G,E,V,V,V,V,H,2309
H,H,H,H,H,H,H,H,H,H,Z,Z,H,H,H,H,H,H,H,H,H,H,H,H,2310
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2311
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2312
H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,2313
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,2314
H,H,H,H,H,H,H,H,H,G,G,H,H,H,H,H,H,H,X,H,H,H,H,H,2315
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2316
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2317
H,H,H,H,H,H,H,H,H,S,G,G,E,H,H,H,H,H,H,H,H,H,H,H,2318
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2319
H,H,H,H,H,H,H,H,H,W,W,W,X,W,W,W,W,W,H,H,H,H,H,H,2320
H,H,H,H,H,W,W,W,W,W,W,W,H,H,H,W,W,W,W,W,W,H,H,H,2321
H,H,H,H,H,H,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,2322
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2323
H,H,H,H,H,H,S,S,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2324
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2325
H,H,H,H,H,H,H,H,H,H,H,R,E,G,H,H,H,H,H,H,H,H,H,H,2326
H,H,H,H,H,H,H,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,H,H,2327
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,2328
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2329
H,H,H,H,H,H,H,H,H,H,H,H,V,V,V,V,V,V,V,H,H,H,H,H,2330
H,H,H,H,H,H,H,H,H,H,H,H,H,V,V,V,V,V,V,H,H,H,H,H,2331
H,H,H,H,H,H,X,H,H,H,X,X,H,H,H,H,X,W,W,W,W,W,W,W,2332
H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2333
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,2334
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,V,H,H,H,H,H,H,2335
H,H,H,H,H,H,H,H,H,X,X,W,W,W,W,W,W,W,W,W,W,W,H,H,2336
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2337
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2338
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2339
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2340
H,H,H,H,H,H,H,H,H,W,W,H,H,H,H,H,H,H,H,H,H,H,H,H,2341
H,H,H,H,H,H,H,H,H,H,H,H,H,H,R,R,H,H,H,H,H,H,H,H,2342
H,H,H,H,H,H,X,H,P,H,H,H,G,G,D,H,H,H,Z,Z,Z,H,H,H,2343
H,H,H,H,H,H,H,H,H,H,H,H,G,G,X,H,H,H,H,H,H,H,H,H,2344
H,H,H,H,H,H,H,H,S,H,H,H,G,G,D,H,H,H,H,H,H,H,H,H,2345
H,H,H,H,H,X,X,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,H,H,2346
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,X,X,X,X,X,2347
H,H,H,H,H,H,W,H,S,H,H,H,H,H,H,H,H,H,H,H,H,H,W,W,2348
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,V,H,H,H,H,H,H,H,H,2349
H,H,H,H,H,H,H,H,P,P,P,E,E,G,G,G,G,H,H,H,H,H,H,H,2350
H,H,H,H,H,H,H,H,P,P,P,E,E,G,G,G,G,H,H,H,H,H,H,H,2351
H,H,H,H,H,H,H,H,P,P,P,E,E,G,G,G,G,H,H,H,H,H,H,H,2352
H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,2353
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2354
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2355
H,H,H,H,H,H,H,W,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,2356
H,H,H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,H,2357
H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,V,V,V,V,V,H,H,H,H,2358
H,H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,H,H,V,V,V,V,H,2359
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,S,H,H,V,V,V,V,H,2360
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,E,H,H,H,H,H,H,2361
H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,E,H,H,H,H,H,H,2362
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2363
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2364
H,H,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,2365
H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,G,H,H,H,H,H,2366
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2367
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2368
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2369
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,2370
H,H,H,H,H,H,H,W,W,W,W,W,W,W,X,X,X,R,R,H,X,X,X,X,2371
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W,H,H,H,H,H,H,2372
H,H,H,H,H,H,P,P,P,P,P,P,P,P,P,P,P,H,H,H,H,H,H,H,2373
