	Von	Name	Nach	Name	Nr. 1007
169	169	Neuhöfer Str (Ost)	234	Elbbrücken	24,09
170	170	Rudorffweg	234	Elbbrücken	157,78
171	171	Müggenburger Schleus	234	Elbbrücken	73,99
172	172	Rahmwerder Str.	234	Elbbrücken	11,8
173	173	Krankenh St-Adolf-St	234	Elbbrücken	11,16
174	174	Neuhöfer Damm	234	Elbbrücken	15,29
175	175	Jahnckesweg	234	Elbbrücken	6,66
176	176	Boberg Havighorst	234	Elbbrücken	45,41
177	177	Billwerder-Moorfleet	234	Elbbrücken	45,58
178	178	Reinbek, Grosskoppel	234	Elbbrücken	11,17
179	179	Andreas-M-Str. (Mitt	234	Elbbrücken	11,04
180	180	Billwerder Billd 34	234	Elbbrücken	4,12
181	181	Hovestr (Kehre)	234	Elbbrücken	21,2
182	182	Liedenkummer Bogen	234	Elbbrücken	0,34
183	183	Moorfleeter Deich 20	234	Elbbrücken	11,01
184	184	Stübenplatz	234	Elbbrücken	24,18
185	185	Werkcentrum Elbinsel	234	Elbbrücken	11,98
186	186	Peutestr. 24	234	Elbbrücken	74,2
187	187	Nippoldstr (Zoll)	234	Elbbrücken	116,06
188	188	S Veddel	234	Elbbrücken	55,96
189	189	Osterfelddeich	234	Elbbrücken	9,29
190	190	Halskestrasse 26	234	Elbbrücken	11,07
191	191	Holsteiner Str	234	Elbbrücken	11,16
192	192	Oderhöft	234	Elbbrücken	115,99
193	193	Wohltorfer Str	234	Elbbrücken	23,94
194	194	Rahewinkel	234	Elbbrücken	59,89
195	195	S Wohltorf	234	Elbbrücken	5,28
196	196	Oberwerder Damm	234	Elbbrücken	74,08
197	197	Pinkertweg	234	Elbbrücken	11,1
198	198	Wilhelmsburger Platz	234	Elbbrücken	9,66
199	199	S Aumühle	234	Elbbrücken	8,7
200	200	Königreich, Rademach	234	Elbbrücken	0,88
201	201	U Mümmelmannsberg	234	Elbbrücken	251,11
202	202	Waltershof, Fähre	234	Elbbrücken	138,2
203	203	Klütjenfelder Str	234	Elbbrücken	23,63
204	204	Norderkirchenweg	234	Elbbrücken	11,27
205	205	Gutenbergstr (Juridw	234	Elbbrücken	31,05
206	206	Münterweg	234	Elbbrücken	108,62
207	207	Osterjork 125	234	Elbbrücken	0,33
208	208	Sperrwerk Estemündun	234	Elbbrücken	9,93
209	209	S Tiefstack	234	Elbbrücken	24,6
210	210	S Friedrichsruh	234	Elbbrücken	4,49
211	211	Haseneck	234	Elbbrücken	22,42
212	212	Moorfleeter Str (Mit	234	Elbbrücken	11,81
213	213	Grusonstr	234	Elbbrücken	23,26
214	214	Steinbeker Marktstr	234	Elbbrücken	15,02
215	215	Schönningstedt, Ort	234	Elbbrücken	54,51
216	216	Cranz, Estebogen	234	Elbbrücken	9,73
217	217	Thiedingreihe	234	Elbbrücken	24,05
218	218	Nordmeerstr	234	Elbbrücken	9,17
219	219	Norderschulweg	234	Elbbrücken	9,31
220	220	Liebigstr (Ost)	234	Elbbrücken	12,22
221	221	Billbrookdeich 210	234	Elbbrücken	12,61
222	222	Billhorner Mühlenweg	234	Elbbrücken	29,53
223	223	Glinde, Weißdornweg	234	Elbbrücken	136,86
224	224	Berzeliusstr (Mitte)	234	Elbbrücken	12,33
225	225	Rote Brücke	234	Elbbrücken	18,6
226	226	Billhorner Röhrendam	234	Elbbrücken	93
227	227	Berzeliusstr (West)	234	Elbbrücken	12,62
228	228	Wöhlerstr	234	Elbbrücken	24,04
229	229	Deutsche Airbus	234	Elbbrücken	9,79
230	230	Mühlenhagen	234	Elbbrücken	23,28
231	231	Amerikahöft	234	Elbbrücken	116,31
232	232	Billstr  185	234	Elbbrücken	23,46
233	233	Oberschleems	234	Elbbrücken	18,64
234	234	Elbbrücken	1	Im Lehmsaal	6,75
235	234	Elbbrücken	2	Klecken	8,98
236	234	Elbbrücken	3	Winsen	34,75
237	234	Elbbrücken	4	v/nHittfeld	5,39
238	234	Elbbrücken	5	Ashausen	6,03
239	234	Elbbrücken	6	Maschen, Schöne Auss	6,74
240	234	Elbbrücken	7	Stelle	4,79
241	234	Elbbrücken	8	Huckfeldsheide	3,24
242	234	Elbbrücken	9	v/nMaschen	4,79
243	234	Elbbrücken	10	Maschener Schützenst	4,95
244	234	Elbbrücken	11	Emmelndorf, Steineck	3,26
245	234	Elbbrücken	12	Ost-Krauel	1,2
246	234	Elbbrücken	13	S Hittfeld	3,26
247	234	Elbbrücken	14	Sülzbrack	1,25
248	234	Elbbrücken	15	S Maschen	4,96
249	234	Elbbrücken	16	Woxdorf	3,26
250	234	Elbbrücken	17	Fleestedt	2,94
251	234	Elbbrücken	18	Lerchenweg	5,08
252	234	Elbbrücken	19	Achterdeich	5,54
253	234	Elbbrücken	20	Kirchw Mühlendamm	1,63
254	234	Elbbrücken	21	Rönne, Brücke	4,56
255	234	Elbbrücken	22	Höpengrund	4,36
256	234	Elbbrücken	23	Am Felde (S Meckelfe	6,78
257	234	Elbbrücken	24	Rönneburger Str	6,79
258	234	Elbbrücken	25	S Meckelfeld	5,86
259	234	Elbbrücken	26	Sandkäferweg	34,01
260	234	Elbbrücken	27	Geesthacht, Schiffba	3,95
261	234	Elbbrücken	28	Kirchwerder, Howe	1,24
262	234	Elbbrücken	29	Sinstorfer Kirchweg	17,7
263	234	Elbbrücken	30	Speicherbecken	10,55
264	234	Elbbrücken	31	Altengamme, Zeltplat	1,18
265	234	Elbbrücken	32	Schützenhof Neuengam	1,21
266	234	Elbbrücken	33	Overwerder	1,2
267	234	Elbbrücken	34	Lüttwetter	1,18
268	234	Elbbrücken	35	Spritzenhaus	1,59
269	234	Elbbrücken	36	Vahrendorf, Ehestorf	4,08
270	234	Elbbrücken	37	Kälbersteert	1,21
271	234	Elbbrücken	38	Vahrendorf, Appelbüt	19,79
272	234	Elbbrücken	39	Geesthacht, Norderst	4,13
273	234	Elbbrücken	40	Buchholzer Weg	16,02
274	234	Elbbrücken	41	An der Eiche	16,26
275	234	Elbbrücken	42	Zum Jägerfeld	28,19
276	234	Elbbrücken	43	Geesthacht, Oberstad	3,95
277	234	Elbbrücken	44	Geesthacht, Heuweg	3,95
278	234	Elbbrücken	45	Fünfhausen, Durchdei	1,29
279	234	Elbbrücken	46	Ernst-Bergeest-Weg	24,13
280	234	Elbbrücken	47	Radickestr	16,5
281	234	Elbbrücken	48	Bullenhausen, Pumpwe	4,9
282	234	Elbbrücken	49	Düneberger Str (Mitt	3,95
283	234	Elbbrücken	50	Geesthacht, Waldstr	3,95
284	234	Elbbrücken	51	Oortkaten	1,23
285	234	Elbbrücken	52	Eißend. Mühlenweg	11,14
286	234	Elbbrücken	53	Winsener Str (Nord)	17,07
287	234	Elbbrücken	54	Seefeld	1,6
288	234	Elbbrücken	55	Rabenstein	29,71
289	234	Elbbrücken	56	Jägerhof	4,19
290	234	Elbbrücken	57	Göhlbachtal	34,16
291	234	Elbbrücken	58	Horster Schule	1,18
292	234	Elbbrücken	59	Wohlersweg	11,06
293	234	Elbbrücken	60	Cursl Heerweg 44-46	1,18
294	234	Elbbrücken	61	Besenhorst	4,12
295	234	Elbbrücken	62	Majestätische Aussic	11,7
296	234	Elbbrücken	63	Ehestorfer Weg (Mitt	12,6
297	234	Elbbrücken	64	Knoopstr./Bremer Str	16,39
298	234	Elbbrücken	65	Lübbersweg	15,96
299	234	Elbbrücken	66	S Harburg	46,11
300	234	Elbbrücken	67	Lühmannstr	11,74
301	234	Elbbrücken	68	Moorstr	43,98
302	234	Elbbrücken	69	Denickestr	11,86
303	234	Elbbrücken	70	Neu Wulmstorf, Postw	6,88
304	234	Elbbrücken	71	Neugrabener Heideweg	6,28
305	234	Elbbrücken	72	Goldene Wiege	6,24
306	234	Elbbrücken	73	Neuengammer Hausdeich	1,6
307	234	Elbbrücken	74	Grundheide	4,43
308	234	Elbbrücken	75	Grossmoorring	11,01
309	234	Elbbrücken	76	S Harb Rath Eißend.S	17,61
310	234	Elbbrücken	77	Technische Uni Harbu	34,27
311	234	Elbbrücken	78	Buxtehude	2,6
312	234	Elbbrücken	79	Worth	6,49
313	234	Elbbrücken	80	v/nNeugraben	4,54
314	234	Elbbrücken	81	Neu Wulmstorf, Kants	5,6
315	234	Elbbrücken	82	Lohmannsweg	10,67
316	234	Elbbrücken	83	Reitbrook, Schule	1,04
317	234	Elbbrücken	84	S Heimfeld	10,49
318	234	Elbbrücken	85	Escheburg, Götensber	5,78
319	234	Elbbrücken	86	Kanalplatz	30,95
320	234	Elbbrücken	87	Unterelbestr	30,82
321	234	Elbbrücken	88	Horster Damm 258	1,17
322	234	Elbbrücken	89	Ochsenwerder	1,42
323	234	Elbbrücken	90	Schiefe Brücke	1,59
324	234	Elbbrücken	91	Betonwerk	15,37
325	234	Elbbrücken	92	Achterschlag	1,19
326	234	Elbbrücken	93	Kaserne Fischbek	3,62
327	234	Elbbrücken	94	Moorburger Str	19,03
328	234	Elbbrücken	95	Ochsenwerder Mühlenw	1,2
329	234	Elbbrücken	96	Moorburger Bogen	3,97
330	234	Elbbrücken	97	Haake	6,27
331	234	Elbbrücken	98	Allermöher Werftstegel	1,07
332	234	Elbbrücken	99	Rostweg	2,63
333	234	Elbbrücken	100	Opferberg	4,08
334	234	Elbbrücken	101	Zum Fürstenmoor	2,48
335	234	Elbbrücken	102	Börnsen, Dänenweg	5,95
336	234	Elbbrücken	103	Esso	31,28
337	234	Elbbrücken	104	S Neugraben	4,71
338	234	Elbbrücken	105	Moorw Hauptdeich 69	2,69
339	234	Elbbrücken	106	Neuwied Str (West)	1,91
340	234	Elbbrücken	107	Twistering	1,91
341	234	Elbbrücken	108	Holtenklinke	6,28
342	234	Elbbrücken	109	Friedhof Finkenriek	26,29
343	234	Elbbrücken	110	Phillips/Hausbruch	1,99
344	234	Elbbrücken	111	Allermöhe Kirche	4,71
345	234	Elbbrücken	112	Heidemoor	1,91
346	234	Elbbrücken	113	Wehrdeich	12,03
347	234	Elbbrücken	114	Weidendamm	23,09
348	234	Elbbrücken	115	Unterm Heilbrunnen	21,45
349	234	Elbbrücken	116	Nettelnburger Str	15,25
350	234	Elbbrücken	117	Hamfelderedder	6,04
351	234	Elbbrücken	118	Sternwarte, Eingang	6,38
352	234	Elbbrücken	119	Neu Allermöhe Nord	10,11
353	234	Elbbrücken	120	Adolf-Köster-Damm	12,49
354	234	Elbbrücken	121	NETTELNB.KIRCHENWEG	11,89
355	234	Elbbrücken	122	Lehfeld	75,25
356	234	Elbbrücken	123	Wilhelmsburg 1	31,7
357	234	Elbbrücken	124	Mohnhof	11,84
358	234	Elbbrücken	125	Margit-Zinke-Str	17,06
359	234	Elbbrücken	126	Tatenberg	1,2
360	234	Elbbrücken	127	Wilhelmsburg 2	22,94
361	234	Elbbrücken	128	Pfingstberg	18,61
362	234	Elbbrücken	129	Krankenhaus Bethesda	7,29
363	234	Elbbrücken	130	S Nettelnburg	7,63
364	234	Elbbrücken	131	Trettaustr	21,14
365	234	Elbbrücken	132	Gartenfreunde Franco	1,5
366	234	Elbbrücken	133	Kampchaussee 37	8,05
367	234	Elbbrücken	134	Moorburger Elbd 297	2,47
368	234	Elbbrücken	135	S Bergedorf	38,82
369	234	Elbbrücken	136	Gewerbegebiet Allermöhe Ost	46,06
370	234	Elbbrücken	137	Wentorf, Höppneralle	26,49
371	234	Elbbrücken	138	Rethebrücke (Nord)	11,8
372	234	Elbbrücken	139	Wilhelmsburg 3	28,76
373	234	Elbbrücken	140	Luisenschule	18,75
374	234	Elbbrücken	141	Billwerder Str  42	8,31
375	234	Elbbrücken	142	Lohbrügger Markt	14,59
376	234	Elbbrücken	143	Siedenf. Weg (West)	36,31
377	234	Elbbrücken	144	Fockenweide	7,81
378	234	Elbbrücken	145	Gewerbegebiet Allermöhe Mitte	4,75
379	234	Elbbrücken	146	Krieterstr	32,32
380	234	Elbbrücken	147	Moorburg, Kreuzung	4,23
381	234	Elbbrücken	148	Riehlstr	5,97
382	234	Elbbrücken	149	Zentralschule Mittle	38,55
383	234	Elbbrücken	150	Rathaus Wilhelmsburg	35,07
384	234	Elbbrücken	151	Thielenstr.	38,35
385	234	Elbbrücken	152	Achtern Höben	24,24
386	234	Elbbrücken	153	An der Bergkoppel	14,85
387	234	Elbbrücken	154	Ziegelerstr	68,46
388	234	Elbbrücken	155	Tatenberg, Schleuse	1,25
389	234	Elbbrücken	156	Auf der Bojewiese	23,72
390	234	Elbbrücken	157	Binnenfeldredder	13,39
391	234	Elbbrücken	158	Heidkampsredder	52,24
392	234	Elbbrücken	159	Billwerder Billd(Pos	5,88
393	234	Elbbrücken	160	Niederg. Deich (Süd)	46,72
394	234	Elbbrücken	161	Unfallkrankenhaus	17,06
395	234	Elbbrücken	162	Altenwerder	2,87
396	234	Elbbrücken	163	Marschkamper Deich	0,94
397	234	Elbbrücken	164	Veringstr (Mitte)	8,65
398	234	Elbbrücken	165	Landhausplatz	12,5
399	234	Elbbrücken	166	Grandkoppelstieg	56,98
400	234	Elbbrücken	167	Zollamt Waltershof	2,66
401	234	Elbbrücken	168	Perelsstr	68,86
402	234	Elbbrücken	169	Neuhöfer Str (Ost)	60,44
403	234	Elbbrücken	170	Rudorffweg	67,14
404	234	Elbbrücken	171	Müggenburger Schleus	90,85
405	234	Elbbrücken	172	Rahmwerder Str.	39,71
406	234	Elbbrücken	173	Krankenh St-Adolf-St	11,04
407	234	Elbbrücken	174	Neuhöfer Damm	11,77
408	234	Elbbrücken	175	Jahnckesweg	6,5
409	234	Elbbrücken	176	Boberg Havighorst	25,09
410	234	Elbbrücken	177	Billwerder-Moorfleet	12,04
411	234	Elbbrücken	178	Reinbek, Grosskoppel	11,05
412	234	Elbbrücken	179	Andreas-M-Str. (Mitt	11,67
413	234	Elbbrücken	180	Billwerder Billd 34	5,7
414	234	Elbbrücken	181	Hovestr (Kehre)	61,97
415	234	Elbbrücken	182	Liedenkummer Bogen	0,31
416	234	Elbbrücken	183	Moorfleeter Deich 20	12,46
417	234	Elbbrücken	184	Stübenplatz	22,24
418	234	Elbbrücken	185	Werkcentrum Elbinsel	29,76
419	234	Elbbrücken	186	Peutestr. 24	91,34
420	234	Elbbrücken	187	Nippoldstr (Zoll)	86,76
421	234	Elbbrücken	188	S Veddel	78,6
422	234	Elbbrücken	189	Osterfelddeich	5,93
423	234	Elbbrücken	190	Halskestrasse 26	11,76
424	234	Elbbrücken	191	Holsteiner Str	11,05
425	234	Elbbrücken	192	Oderhöft	86,74
426	234	Elbbrücken	193	Wohltorfer Str	20,75
427	234	Elbbrücken	194	Rahewinkel	30,02
428	234	Elbbrücken	195	S Wohltorf	25,82
429	234	Elbbrücken	196	Oberwerder Damm	91,26
430	234	Elbbrücken	197	Pinkertweg	11,79
431	234	Elbbrücken	198	Wilhelmsburger Platz	8,88
432	234	Elbbrücken	199	S Aumühle	10,97
433	234	Elbbrücken	200	Königreich, Rademach	0,84
434	234	Elbbrücken	201	U Mümmelmannsberg	108,3
435	234	Elbbrücken	202	Waltershof, Fähre	110,39
436	234	Elbbrücken	203	Klütjenfelder Str	21,52
437	234	Elbbrücken	204	Norderkirchenweg	7,21
438	234	Elbbrücken	205	Gutenbergstr (Juridw	20,57
439	234	Elbbrücken	206	Münterweg	19,17
440	234	Elbbrücken	207	Osterjork 125	0,3
441	234	Elbbrücken	208	Sperrwerk Estemündun	7,18
442	234	Elbbrücken	209	S Tiefstack	23,19
443	234	Elbbrücken	210	S Friedrichsruh	5,85
444	234	Elbbrücken	211	Haseneck	19,27
445	234	Elbbrücken	212	Moorfleeter Str (Mit	11,59
446	234	Elbbrücken	213	Grusonstr	24,68
447	234	Elbbrücken	214	Steinbeker Marktstr	14,35
448	234	Elbbrücken	215	Schönningstedt, Ort	21,18
449	234	Elbbrücken	216	Cranz, Estebogen	7,04
450	234	Elbbrücken	217	Thiedingreihe	25,71
451	234	Elbbrücken	218	Nordmeerstr	5,86
452	234	Elbbrücken	219	Norderschulweg	7,05
453	234	Elbbrücken	220	Liebigstr (Ost)	11,88
454	234	Elbbrücken	221	Billbrookdeich 210	12,55
455	234	Elbbrücken	222	Billhorner Mühlenweg	26,9
456	234	Elbbrücken	223	Glinde, Weißdornweg	40,67
457	234	Elbbrücken	224	Berzeliusstr (Mitte)	12,16
458	234	Elbbrücken	225	Rote Brücke	17,73
459	234	Elbbrücken	226	Billhorner Röhrendam	88,54
460	234	Elbbrücken	227	Berzeliusstr (West)	12,47
461	234	Elbbrücken	228	Wöhlerstr	25,6
462	234	Elbbrücken	229	Deutsche Airbus	5,89
463	234	Elbbrücken	230	Mühlenhagen	25,62
464	234	Elbbrücken	231	Amerikahöft	87,46
465	234	Elbbrücken	232	Billstr  185	25,6
466	234	Elbbrücken	233	Oberschleems	17,8
467	234	Elbbrücken	234	Elbbrücken	1253,38
468	234	Elbbrücken	235	Bubendey-Ufer	2,87
469	234	Elbbrücken	236	Norderloch	162,67
470	234	Elbbrücken	237	S Rothenburgsort	22,88
471	234	Elbbrücken	238	HOCHHAUS,ANLEGER	5,95
472	234	Elbbrücken	239	HafenCity/SAP	138,3
473	234	Elbbrücken	240	HafenCity Ost	554,12
