income,age,children,sex,bach_degree,cars,activities,start_times
gt35-lt100,20 to 35,no,male,no,two or more,H_W_H,18120_54180
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H,25320_57780
gt35-lt100,above 60,no,female,yes,two or more,H,
gt35-lt100,20 to 35,no,female,yes,one,H_W_H,21840_57840
gt100,35 to 60,yes,male,yes,two or more,H_W,10800
gt35-lt100,above 60,no,male,no,two or more,H_P_H_W_H,43380_50520_54300_64800
gt35-lt100,35 to 60,no,male,no,one,H,
lt35,20 to 35,no,male,yes,one,H_W_Z_H,32580_72000_72120
gt100,35 to 60,yes,male,no,two or more,H_W_H,43440_79260
lt35,35 to 60,yes,male,no,two or more,H_Z_V_H_G_H_D_G_H,36000_43200_46800_47040_50580_54180_54240_57780
gt35-lt100,above 60,no,female,yes,one,H_W_H_G_X_H_R_H,25380_43200_50400_54060_57600_72180_79380
gt100,35 to 60,yes,male,no,two or more,H_W_H,46800_82980
gt100,19 and under,yes,female,no,two or more,H_W_H,50580_61440
gt35-lt100,20 to 35,no,male,yes,two or more,H_W_H_E_H,25380_61200_68400_75660
gt100,20 to 35,no,male,yes,one,H,
gt100,35 to 60,yes,male,yes,two or more,H_R_G_H_V_H,46980_54000_57780_64980_82800
gt100,35 to 60,yes,female,yes,two or more,H_V_H,64980_82800
gt100,19 and under,yes,female,no,two or more,H,
gt35-lt100,20 to 35,yes,female,no,two or more,H_W_H,25320_54180
gt35-lt100,19 and under,yes,female,no,two or more,H_C_H,25380_54000
gt35-lt100,above 60,yes,female,yes,one,H_W_S_D_W_H,25260_50520_50640_54180_65040
lt35,above 60,no,female,no,one,H_W_H,18000_54000
lt35,above 60,no,male,yes,two or more,H_W_H,25380_54180
lt35,35 to 60,no,female,yes,one,H_P_H,54240_57840
gt35-lt100,35 to 60,no,female,yes,one,H_G_W_G_H,21840_25200_54180_57840
lt35,35 to 60,yes,female,no,one,H_W_E_D_H,36180_72000_72120_72180
gt100,20 to 35,no,female,yes,one,H_G_W_H_E_H,36240_39600_68460_72000_79380
gt100,35 to 60,no,male,yes,two or more,H_W_E_W_H,28980_39840_43440_61380
gt100,35 to 60,no,male,no,two or more,H_G_W_H_G_H_G_H,18000_18060_50580_64980_72000_75840_79260
gt100,35 to 60,no,male,yes,two or more,H_W_E_H,21600_68580_75600
gt100,35 to 60,no,male,no,two or more,H_Z_H_G_S_G_H_Z_H,36120_43320_47040_50460_50580_54060_57840_68460
gt100,35 to 60,yes,male,yes,two or more,H_X_H,39780_43380
gt100,35 to 60,yes,female,yes,two or more,H_W_H_E_H,28980_61200_64800_64980
gt35-lt100,35 to 60,no,female,no,two or more,H_G_H_W_H,46800_46860_50640_82800
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,25260_57600
lt35,above 60,no,male,no,two or more,H_W_H,36060_46980
gt100,above 60,no,male,yes,two or more,H_W_X_H,25440_54180_72180
gt35-lt100,35 to 60,no,female,yes,one,H_W_E_G_H_Z_G_E_H_W,18180_21780_28860_29040_43260_57660_57840_57900_75900
gt35-lt100,35 to 60,yes,female,no,two or more,H,
gt35-lt100,35 to 60,yes,male,no,two or more,H_S_G_S_H,65040_68520_68640_72000
gt35-lt100,20 to 35,yes,male,no,two or more,H_S_G_S_E_H,65040_68520_68640_72300_75600
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H,28980_61200
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H,54000_82980
gt35-lt100,20 to 35,no,female,yes,two or more,H_R_G_H_G_V_H,36000_46980_50640_61260_64860_79200
gt35-lt100,35 to 60,no,male,yes,two or more,H_R_G_H_E_G_H,36000_46980_50640_75600_75720_75840
gt100,35 to 60,no,male,yes,two or more,H_W_P_W_S_W_P_H_S_H_X,21840_25440_29040_39840_39900_50580_54180_61200_61440_72000
gt100,35 to 60,no,female,yes,two or more,H_W_P_H_X,25200_54180_61200_72000
gt35-lt100,20 to 35,no,female,no,two or more,H_W_H_W_H_X_H,18240_39600_43320_57600_57720_57840
gt35-lt100,20 to 35,no,male,no,two or more,H_W_R_H,18180_61380_64920
gt100,35 to 60,no,male,no,two or more,H_R_H,28800_61200
gt100,35 to 60,no,female,no,two or more,H,
lt35,35 to 60,no,male,no,one,H_E_H,32640_50460
gt35-lt100,35 to 60,no,male,no,two or more,H_W_H_D_H,32400_36000_36300_39840
gt35-lt100,20 to 35,no,female,yes,two or more,H,
gt35-lt100,35 to 60,no,female,yes,one,H_W_E_W_X_H_G_H,28920_43260_43380_61200_65100_72120_75600
gt35-lt100,above 60,no,male,no,two or more,H_E_W_H_G_H,18180_18240_50580_64860_64980
gt35-lt100,above 60,no,female,no,two or more,H_W_H,43380_68400
gt35-lt100,20 to 35,yes,female,yes,one,H_D_H_W_E_W_G_W_D_H,25320_25380_29040_39900_43500_46920_46980_57900_61380
lt35,35 to 60,no,female,no,two or more,H_G_H,54060_54300
lt35,20 to 35,no,male,no,two or more,H_W_S_W_G_H,21840_39600_39840_61200_61320
gt100,20 to 35,no,male,no,two or more,H_W_H_E_S_E_H_S_W,21600_25200_43200_46800_50400_50580_54180_54300
gt35-lt100,35 to 60,no,male,yes,one,H_W_E_W_H,25320_39840_43500_57900
gt35-lt100,35 to 60,no,male,no,two or more,H_G_W_H_G_H,18240_21780_57780_64800_68400
gt35-lt100,35 to 60,no,female,no,two or more,H_W_H_G_H,18300_57720_64800_68400
gt100,above 60,no,male,yes,one,H_W_H,21780_61260
gt100,35 to 60,no,female,yes,two or more,H_G_H,39780_43200
gt100,35 to 60,no,male,yes,two or more,H,
lt35,35 to 60,no,male,no,none,H_W_G_H,21600_57840_61500
gt35-lt100,35 to 60,yes,male,yes,two or more,H_W_H,21840_57600
gt35-lt100,35 to 60,yes,female,yes,two or more,H_W_D_G_D_E_H,25380_54120_54240_57900_61320_72240
gt35-lt100,20 to 35,no,female,no,one,H_W_E_W_H,32400_46860_46920_57900
lt35,20 to 35,no,male,no,two or more,H_W_H_S_H_E_H_W,28860_32460_36060_36120_61380_61440_10800
gt35-lt100,35 to 60,yes,female,yes,two or more,H_D_H_W_H,28860_28920_57780_79200
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,21720_57840
gt35-lt100,19 and under,yes,male,no,two or more,H_C_H_W_H,25200_50640_64980_79380
